,quadrat,ba.sum,dead.hem.ba.sum,dead.per,cluster
16,711,19555.27544,1677.626185,0.085788931,1
17,712,25504.65082,2418.468711,0.094824616,1
18,713,20649.90057,2774.081291,0.134338724,1
19,714,24236.86896,3265.457798,0.134731009,1
20,715,22605.36921,4002.978089,0.177080854,1
21,716,17426.92496,2105.526812,0.120820329,1
22,717,20473.72005,5125.209963,0.250331154,3
23,718,15030.62018,1020.357878,0.067885281,3
24,719,21073.96845,2909.271877,0.1380505,3
25,720,22649.02949,281.1568345,0.012413637,3
26,721,19298.56805,2586.104095,0.134004973,3
27,722,19923.27375,2726.439038,0.13684694,3
28,723,19458.00388,2156.624817,0.110834844,3
29,724,18981.58135,2746.270342,0.144680798,3
30,725,19014.3246,2786.380626,0.146541131,3
31,811,28492.95732,2731.536272,0.095867068,3
32,812,23411.6354,3515.505011,0.150160591,3
33,813,23328.43032,4672.624271,0.200297414,3
34,814,17522.56289,1267.593366,0.072340637,3
35,815,24627.45532,1452.790253,0.058990677,3
36,816,31573.14754,1971.522178,0.062443004,3
37,817,20078.24066,598.7954138,0.029823102,3
38,818,24344.41353,6467.376884,0.265661643,3
39,819,15177.14407,859.6025819,0.056637967,3
40,820,20361.54163,1036.45854,0.050902754,3
