"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0.167237201477757
"6",1,5,2.44207800309685
"7",1,6,0.0465875875284278
"8",1,7,0.78510141290062
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0.0435320970833678
"20",1,19,1.11021124974641
"21",1,20,3.40525244816657
"22",1,21,0
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",2,0,0
"28",2,1,0
"29",2,2,0
"30",2,3,0
"31",2,4,0.763146771277695
"32",2,5,0.0229894924137757
"33",2,6,0
"34",2,7,0.451349969248198
"35",2,8,0
"36",2,9,0.155352221764606
"37",2,10,0
"38",2,11,0
"39",2,12,0.319337064675381
"40",2,13,1.01682518418997
"41",2,14,0.441703489949385
"42",2,15,1.42404335831442
"43",2,16,3.40525244816657
"44",2,17,0
"45",2,18,0
"46",2,19,0
"47",2,20,0
"48",2,21,0
"49",2,22,0
"50",2,23,0
"51",2,24,0
"52",2,25,0
"53",3,0,0
"54",3,1,0
"55",3,2,0
"56",3,3,0
"57",3,4,0
"58",3,5,0
"59",3,6,0
"60",3,7,0
"61",3,8,0.0623713957506012
"62",3,9,0.864286857941209
"63",3,10,0
"64",3,11,0
"65",3,12,1.22293715197328
"66",3,13,0.248543917705892
"67",3,14,2.00662611566769
"68",3,15,2.67500542400968
"69",3,16,0
"70",3,17,0
"71",3,18,0.920229136951647
"72",3,19,0
"73",3,20,0
"74",3,21,0
"75",3,22,0
"76",3,23,0
"77",3,24,0
"78",3,25,0
"79",4,0,0
"80",4,1,0
"81",4,2,0
"82",4,3,0
"83",4,4,0
"84",4,5,0
"85",4,6,0
"86",4,7,0.0096553881027832
"87",4,8,0.340587504375841
"88",4,9,0.164220995267714
"89",4,10,0
"90",4,11,0.214928268375626
"91",4,12,0.566368447668817
"92",4,13,0
"93",4,14,0
"94",4,15,0.0970778509134924
"95",4,16,0.806238827868305
"96",4,17,0.0868028058331947
"97",4,18,0.850338789288301
"98",4,19,0.182149582628553
"99",4,20,0.211175881203625
"100",4,21,0.789539110667161
"101",4,22,0.920229136951647
"102",4,23,0.38192959976394
"103",4,24,1.45852867413935
"104",4,25,0.920229136951647
"105",5,0,0
"106",5,1,0
"107",5,2,0
"108",5,3,0
"109",5,4,0
"110",5,5,0
"111",5,6,0
"112",5,7,0.219161529415369
"113",5,8,0.821842651124546
"114",5,9,0
"115",5,10,0
"116",5,11,0
"117",5,12,0.156369937423766
"118",5,13,0.310149415464948
"119",5,14,0.0100197457668868
"120",5,15,0.171542788427444
"121",5,16,0.336921560324709
"122",5,17,0.156369937423766
"123",5,18,0.706127929528015
"124",5,19,0.892278420106257
"125",5,20,0.38192959976394
"126",5,21,1.99682821132706
"127",5,22,0
"128",5,23,0
"129",5,24,1.84045827390329
"130",5,25,0
"131",6,0,0
"132",6,1,0
"133",6,2,0.709905559638598
"134",6,3,0.182061307004062
"135",6,4,0.27142416831375
"136",6,5,0
"137",6,6,0
"138",6,7,3.4299893268697
"139",6,8,0.488391107517945
"140",6,9,0
"141",6,10,0
"142",6,11,0
"143",6,12,0
"144",6,13,0
"145",6,14,0
"146",6,15,0
"147",6,16,0
"148",6,17,2.91822853065594
"149",6,18,0
"150",6,19,0
"151",6,20,0
"152",6,21,0
"153",6,22,0
"154",6,23,0
"155",6,24,0
"156",6,25,0
"157",7,0,0
"158",7,1,0
"159",7,2,0
"160",7,3,0.839366066512891
"161",7,4,0.0305211145744812
"162",7,5,0
"163",7,6,1.04306408787693
"164",7,7,0
"165",7,8,0
"166",7,9,0
"167",7,10,0
"168",7,11,0
"169",7,12,0
"170",7,13,0
"171",7,14,0.0273743721381127
"172",7,15,0.813963636827721
"173",7,16,0.38192959976394
"174",7,17,1.1023787195802
"175",7,18,0.0804858549191387
"176",7,19,0.497446775044748
"177",7,20,1.34301149885854
"178",7,21,0
"179",7,22,0
"180",7,23,0
"181",7,24,0.920229136951647
"182",7,25,0.920229136951647
"183",8,0,0
"184",8,1,0
"185",8,2,0
"186",8,3,0
"187",8,4,1.57739540785609
"188",8,5,3.87012129136784
"189",8,6,1.06382480994945
"190",8,7,0.018341807068094
"191",8,8,0
"192",8,9,0
"193",8,10,0
"194",8,11,0
"195",8,12,0.348494334293786
"196",8,13,0
"197",8,14,0
"198",8,15,0.440203369634257
"199",8,16,0.0366836141361881
"200",8,17,0.110050842408564
"201",8,18,0.018341807068094
"202",8,19,0.018341807068094
"203",8,20,0
"204",8,21,0
"205",8,22,0.018341807068094
"206",8,23,0.018341807068094
"207",8,24,0
"208",8,25,0
"209",9,0,0
"210",9,1,0
"211",9,2,0
"212",9,3,0
"213",9,4,0
"214",9,5,1.70058059840837
"215",9,6,2.39035273206228
"216",9,7,0.992009321250639
"217",9,8,2.91705734827871
"218",9,9,0
"219",9,10,0
"220",9,11,0
"221",9,12,0
"222",9,13,0
"223",9,14,0
"224",9,15,0
"225",9,16,0
"226",9,17,0
"227",9,18,0
"228",9,19,0
"229",9,20,0
"230",9,21,0
"231",9,22,0
"232",9,23,0
"233",9,24,0
"234",9,25,0
"235",10,0,0
"236",10,1,0.250536727330531
"237",10,2,0.585954384297535
"238",10,3,0.334644219558441
"239",10,4,0.256203661637123
"240",10,5,0.510553722568522
"241",10,6,0.027961938903475
"242",10,7,1.75901782088983
"243",10,8,0
"244",10,9,0
"245",10,10,0
"246",10,11,0
"247",10,12,0
"248",10,13,0
"249",10,14,0
"250",10,15,0
"251",10,16,0
"252",10,17,0
"253",10,18,0
"254",10,19,0.0542174479186429
"255",10,20,2.76179581156793
"256",10,21,1.45911426532797
"257",10,22,0
"258",10,23,0
"259",10,24,0
"260",10,25,0
"261",11,0,0
"262",11,1,0
"263",11,2,0.0549964486664157
"264",11,3,0.0573562545211895
"265",11,4,0
"266",11,5,0
"267",11,6,0
"268",11,7,0
"269",11,8,0.106704910595691
"270",11,9,1.52134200613174
"271",11,10,0.418030353252745
"272",11,11,0.413112476371645
"273",11,12,0
"274",11,13,0
"275",11,14,0
"276",11,15,0.171950197046314
"277",11,16,0
"278",11,17,0.0264743825700037
"279",11,18,0
"280",11,19,0.515597042109807
"281",11,20,1.00772704389802
"282",11,21,3.70670888483643
"283",11,22,0
"284",11,23,0
"285",11,24,0
"286",11,25,0
"287",12,0,0
"288",12,1,0.0956716205001377
"289",12,2,2.35352186430339
"290",12,3,2.16217862330311
"291",12,4,0.363552157900523
"292",12,5,0
"293",12,6,0
"294",12,7,0
"295",12,8,1.81776078950262
"296",12,9,0.420955130200606
"297",12,10,0.0574029723000826
"298",12,11,0.172208916900248
"299",12,12,0
"300",12,13,0
"301",12,14,0
"302",12,15,0
"303",12,16,0.0191343241000275
"304",12,17,0
"305",12,18,0
"306",12,19,0.0191343241000275
"307",12,20,0
"308",12,21,0.0382686482000551
"309",12,22,0
"310",12,23,0
"311",12,24,0
"312",12,25,0
"313",13,0,0
"314",13,1,0.00677204657991399
"315",13,2,1.40314271787668
"316",13,3,1.33136147041602
"317",13,4,0.542299989651613
"318",13,5,0.259679075995959
"319",13,6,0
"320",13,7,0
"321",13,8,0.927067955609209
"322",13,9,0
"323",13,10,0
"324",13,11,0
"325",13,12,0
"326",13,13,0
"327",13,14,0.322548545610666
"328",13,15,0
"329",13,16,3.20712819825994
"330",13,17,0
"331",13,18,0
"332",13,19,0
"333",13,20,0
"334",13,21,0
"335",13,22,0
"336",13,23,0
"337",13,24,0
"338",13,25,0
"339",14,0,0
"340",14,1,0.353856085281391
"341",14,2,1.29747231269843
"342",14,3,0
"343",14,4,0
"344",14,5,0
"345",14,6,0
"346",14,7,0
"347",14,8,3.4402674957913
"348",14,9,0.806005527585391
"349",14,10,0
"350",14,11,0
"351",14,12,0.412832099494957
"352",14,13,0.216245385449739
"353",14,14,0.825664198989913
"354",14,15,0.0589760142135652
"355",14,16,0.137610699831652
"356",14,17,0.196586714045217
"357",14,18,0
"358",14,19,0
"359",14,20,0
"360",14,21,0
"361",14,22,0
"362",14,23,0
"363",14,24,0
"364",14,25,0
"365",15,0,0
"366",15,1,0
"367",15,2,0
"368",15,3,0
"369",15,4,0
"370",15,5,0
"371",15,6,0.340476622653281
"372",15,7,0.50789355621648
"373",15,8,1.54806572200027
"374",15,9,0
"375",15,10,0
"376",15,11,0
"377",15,12,0.083619498363711
"378",15,13,0.261220835638873
"379",15,14,0.465851963387321
"380",15,15,1.0035159818735
"381",15,16,2.86228786425735
"382",15,17,0.927067955609209
"383",15,18,0
"384",15,19,0
"385",15,20,0
"386",15,21,0
"387",15,22,0
"388",15,23,0
"389",15,24,0
"390",15,25,0
"391",16,0,0
"392",16,1,0.227736401143928
"393",16,2,2.4370918074644
"394",16,3,0.542299989651613
"395",16,4,0
"396",16,5,0
"397",16,6,2.39643590087003
"398",16,7,0
"399",16,8,0
"400",16,9,0
"401",16,10,0
"402",16,11,0
"403",16,12,0
"404",16,13,0
"405",16,14,0.243850768871218
"406",16,15,0.298449220780394
"407",16,16,0.384767965957597
"408",16,17,1.46936794526082
"409",16,18,0
"410",16,19,0
"411",16,20,0
"412",16,21,0
"413",16,22,0
"414",16,23,0
"415",16,24,0
"416",16,25,0
"417",17,0,0
"418",17,1,0.131195492305662
"419",17,2,2.39271551921628
"420",17,3,0
"421",17,4,0
"422",17,5,0.21736522335067
"423",17,6,1.55045194269055
"424",17,7,0.769535931915193
"425",17,8,2.93873589052164
"426",17,9,0
"427",17,10,0
"428",17,11,0
"429",17,12,0
"430",17,13,0
"431",17,14,0
"432",17,15,0
"433",17,16,0
"434",17,17,0
"435",17,18,0
"436",17,19,0
"437",17,20,0
"438",17,21,0
"439",17,22,0
"440",17,23,0
"441",17,24,0
"442",17,25,0
"443",18,0,0
"444",18,1,0
"445",18,2,1.93256673410278
"446",18,3,2.41092483660347
"447",18,4,0
"448",18,5,0.0382686482000551
"449",18,6,0.133940268700193
"450",18,7,1.30113403880187
"451",18,8,0.420955130200606
"452",18,9,0.172208916900248
"453",18,10,0
"454",18,11,0.0191343241000275
"455",18,12,0.420955130200606
"456",18,13,0.287014861500413
"457",18,14,0.0382686482000551
"458",18,15,0.191343241000275
"459",18,16,0
"460",18,17,0
"461",18,18,0.15307459280022
"462",18,19,0
"463",18,20,0
"464",18,21,0
"465",18,22,0
"466",18,23,0
"467",18,24,0
"468",18,25,0
"469",19,0,0
"470",19,1,0
"471",19,2,0.157692257545674
"472",19,3,3.81328550064993
"473",19,4,0
"474",19,5,0
"475",19,6,0
"476",19,7,0
"477",19,8,0
"478",19,9,0
"479",19,10,0
"480",19,11,0.544755071521418
"481",19,12,0
"482",19,13,0
"483",19,14,0
"484",19,15,0
"485",19,16,0.0716782988843971
"486",19,17,0
"487",19,18,0.530419411744538
"488",19,19,0
"489",19,20,0
"490",19,21,0.215034896653191
"491",19,22,0.0430069793306383
"492",19,23,0
"493",19,24,0
"494",19,25,0
"495",20,0,0
"496",20,1,0
"497",20,2,0
"498",20,3,3.37466463348033
"499",20,4,0
"500",20,5,0
"501",20,6,0.183405686602192
"502",20,7,0.0489081830939179
"503",20,8,0.0244540915469589
"504",20,9,0
"505",20,10,0
"506",20,11,0
"507",20,12,0
"508",20,13,0
"509",20,14,0
"510",20,15,0
"511",20,16,0.0122270457734795
"512",20,17,0
"513",20,18,0.317903190110466
"514",20,19,0.0244540915469589
"515",20,20,0.0978163661878357
"516",20,21,0.244540915469589
"517",20,22,0
"518",20,23,0.0122270457734795
"519",20,24,0.0244540915469589
"520",20,25,0
