"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,9.23345548654244,4.4187438132955,19.505,2.42222771785996,8,0.692638362644826,122.47475515654,17,15.3093443945675
"2",2,6.7655622406639,3.96748209679965,19.528,1.69363015405716,8,0.552072395006358,114.563524828177,16,14.3204406035221
"3",3,6.64793153526971,5.43428367666456,21.482,4.31352172257435,8,0.920914351227364,128.849021622037,21,16.1061277027546
"4",4,6.50019502074689,4.6729808375205,21.007,1.99409823924885,8,0.564735632089321,122.612674062844,20,15.3265842578555
"5",5,7.11600621118012,4.63675585388201,20.418,4.26501662883796,8,0.861630815401484,125.262394206378,20,15.6577992757973
"6",6,6.46407468879668,1.96075288231635,12.257,3.74157148096081,8,0.837729862180013,82.6973664841487,12,10.3371708105186
"7",7,9.87679166666667,5.6087574309225,23.597,2.10538152627664,7.59836941814125,0.580910494200707,79.9728381259366,6,10.525
"8",8,11.0138541666667,4.42179242645028,23.445,3.51424585589033,7.59836941814125,0.734160406740401,88.331044485892,12,11.625
"9",9,11.1846587473002,4.01231216282489,22.721,2.21486830919342,5.72896104556734,0.550462852301165,67.8999432776475,8,11.8520518358531
"10",10,8.96178838174274,1.70946508904849,17.276,2.51897075119398,8,0.690046935078748,105.677576638621,17,13.2096970798277
"11",11,10.5908266978923,3.70128564174947,22.78,2.03646591102314,7.76402628577573,0.51655493837982,86.5770753155062,9,11.1510538641686
"12",12,15.1750588235294,5.78104205399184,23.394,1.58148629103096,7.55204127739502,0.441981186627993,118.513739528438,14,15.6929411764706
"13",13,12.7387223529412,6.96964999345167,23.347,3.41254622417305,7.36209210798754,0.745239683725267,98.2276312902196,7,13.3423529411765
"14",14,8.03244028103044,4.12834037953094,21.373,3.66071278994493,8,0.777046940447714,129.175925610074,21,16.1469907012592
"15",15,6.24860514018692,0.91235429592072,20.484,3.41039797790293,8,0.794761175191245,73.0865971637868,7,9.13582464547335
"16",16,8.44351877934272,3.38753567911743,20.585,3.0616639745958,7.76350507843935,0.754278961270353,70.3271504640785,8,9.05868544600939
"17",17,13.2534170616114,5.88845874777274,21.597,2.61385317473003,7.02577095373294,0.62529508568673,97.0788398843999,8,13.8175355450237
"18",18,19.557953271028,2.77204435718226,22.286,5.24004966681083,8,1.08777604944938,174.786216197917,22,21.8482770247396
"19",19,19.3841030444965,4.28738848893876,23.254,4.5339724493328,8,0.987500323081475,180.248234808118,23,22.5310293510148
"20",20,19.7026009389671,2.24569653293196,22.662,2.27802379062187,7.76350507843935,0.594489550654095,156.89205450771,22,20.2089201877934
