"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,1.37879728745876
"3",1,2,4.92792363851
"4",1,3,0
"5",1,4,0
"6",1,5,0
"7",1,6,0
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0
"12",1,11,0
"13",1,12,0.60003215287557
"14",1,13,0.0638332077527202
"15",1,14,0
"16",1,15,0.574498869774482
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0
"22",1,21,0.12766641550544
"23",1,22,0
"24",1,23,0
"25",1,24,0
"26",1,25,0
"27",1,26,0
"28",1,27,0
"29",1,28,0
"30",1,29,0
"31",1,30,0
"32",1,31,0
"33",1,32,0
"34",1,33,0
"35",1,34,0
"36",2,0,0
"37",2,1,0.758971697231674
"38",2,2,7.24102830276833
"39",2,3,0
"40",2,4,0
"41",2,5,0
"42",2,6,0
"43",2,7,0
"44",2,8,0
"45",2,9,0
"46",2,10,0
"47",2,11,0
"48",2,12,0
"49",2,13,0
"50",2,14,0
"51",2,15,0
"52",2,16,0
"53",2,17,0
"54",2,18,0
"55",2,19,0
"56",2,20,0
"57",2,21,0
"58",2,22,0
"59",2,23,0
"60",2,24,0
"61",2,25,0
"62",2,26,0
"63",2,27,0
"64",2,28,0
"65",2,29,0
"66",2,30,0
"67",2,31,0
"68",2,32,0
"69",2,33,0
"70",2,34,0
"71",3,0,0
"72",3,1,5.02068663614341
"73",3,2,0.723806082556144
"74",3,3,0
"75",3,4,0
"76",3,5,0
"77",3,6,0
"78",3,7,0.275735650497579
"79",3,8,0.287224635934978
"80",3,9,0
"81",3,10,0.0114889854373991
"82",3,11,0.160845796123588
"83",3,12,0
"84",3,13,0.0459559417495965
"85",3,14,0.0344669563121973
"86",3,15,0
"87",3,16,0.206801737873184
"88",3,17,0.0344669563121973
"89",3,18,0
"90",3,19,0
"91",3,20,0
"92",3,21,0.0229779708747982
"93",3,22,0
"94",3,23,0
"95",3,24,0
"96",3,25,0
"97",3,26,0
"98",3,27,0
"99",3,28,0
"100",3,29,0
"101",3,30,0
"102",3,31,0
"103",3,32,0
"104",3,33,0
"105",3,34,0
"106",4,0,0
"107",4,1,6.62750113644668
"108",4,2,0
"109",4,3,0
"110",4,4,0
"111",4,5,0
"112",4,6,0
"113",4,7,0
"114",4,8,0
"115",4,9,0
"116",4,10,0
"117",4,11,0
"118",4,12,0
"119",4,13,0
"120",4,14,0
"121",4,15,0
"122",4,16,0.506548493794517
"123",4,17,0.8659503697588
"124",4,18,0
"125",4,19,0
"126",4,20,0
"127",4,21,0
"128",4,22,0
"129",4,23,0
"130",4,24,0
"131",4,25,0
"132",4,26,0
"133",4,27,0
"134",4,28,0
