"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,3.86880698835275,4.94885484019799,21.304,4.92792363851,7.67275157187697,0.861154190770192,34.3997156579409,2,4.48336106489185
"2",2,1.50800497512438,0.161983218569488,1.899,7.24102830276833,8,1.22690377265556,19.2410283027683,2,2.40512853784604
"3",3,2.81569023569024,3.8028046002916,21.056,5.02068663614341,6.82445734981507,0.851172902057252,21.4499358116241,1,3.14309764309764
"4",4,1.25764842454395,0.893483231419173,17.234,6.62750113644668,8,1.12592003300414,33.4534333230586,1,4.18167916538232
"5",5,4.85690737564322,5.22211417190353,22.006,2.75869683466377,5.95674168373695,0.554387214765608,31.0762089727031,1,5.21698113207547
"6",6,12.7351404399323,8.11704500244816,32.593,3.03586511711533,6.54816162122321,0.531862778165657,86.0512643506431,9,13.1412859560068
"7",7,6.78067827529022,8.54921439859817,28.346,3.80352889635329,8,0.67679611903978,168.393153522484,28,21.0491441903105
"8",8,23.0341972111554,7.77877930911222,33.686,1.3610908454089,3.39934131539934,0.276017707887824,80.0267244330466,25,23.5418326693227
"9",9,13.4921338289963,11.1023493695684,33.885,1.22545747743203,4.1727602712559,0.281037729088633,58.5039604574038,1,14.0204460966543
"10",10,8.659926910299,3.47425027830652,25.295,2.87736941573838,8,0.653515099881861,129.176131917251,25,16.1470164896564
"11",11,9.70824878836834,4.2043304777911,29.994,2.99601948965428,8,0.705810945362393,156.440984454042,12,19.5551230567553
"12",12,7.08053311793215,4.286535350466,19.32,2.29661862767456,8,0.453195921124373,110.331707850399,16,13.7914634812998
"13",13,2.03071728594507,1.50621208248346,15.851,4.09874834926966,8,0.763949822734486,59.281892998997,2,7.41023662487463
"14",14,9.20642692939245,7.45582390111282,28.293,2.47260178560126,6.75253133377206,0.468472571147516,65.4352441153626,2,9.69047619047619
"15",15,8.40262843295638,7.77148725968269,25.103,3.59626483583715,8,0.657352313200293,158.401675028674,25,19.8002093785842
"16",16,2.05953398058252,0.470973686730196,3.769,3.66445645086549,8,0.772066352458803,27.9310831184601,3,3.49138538980751
"17",17,3.04218416801292,1.90157146348807,12.455,3.16720663201405,8,0.652989386588079,62.9371754734034,9,7.86714693417542
"18",18,2.33535379644588,1.02426444009052,5.462,5.03045432279737,8,0.889558550693661,36.2371228119442,5,4.52964035149302
"19",19,4.08797253634895,3.74850221664288,19.715,2.29661862767456,8,0.490658809022842,97.6799657490297,16,12.2099957186287
"20",20,4.44615857605178,2.45982300639435,28.791,2.47154070996056,8,0.539833280785749,95.5317307661156,11,11.9414663457644
"21",21,3.8464161849711,0.880081419653981,14.588,3.07033082439397,8,0.725404797167333,57.3550993499852,4,7.16938741874815
"22",22,3.72572586872587,2.14416224011634,18.807,4.31682369195135,8,0.846206152523235,80.9244579310201,4,10.1155572413775
"23",23,3.36650096711799,1.63226283178719,18.518,3.78834157525221,7.80307806536012,0.725979632218599,30.1482561616186,3,3.86363636363636
"24",24,2.99927992277992,0.769400362375275,4.607,3.06837125792037,8,0.748057038384965,36.4889454329756,5,4.56111817912195
"25",25,2.91417953667954,0.295898259682858,3.995,4.03700447588417,8,0.926415593475103,31.7037436440801,3,3.96296795551001
"26",26,2.53612934362934,0.45875233693369,3.987,3.6254087036559,8,0.822986420420599,30.4737009787648,4,3.80921262234561
"27",27,3.8215193050193,3.89192744592027,17.133,2.49000648176303,8,0.645222016459006,94.4308395294342,17,11.8038549411793
"28",28,13.1841196911197,4.74693850816993,27.902,3.1797119037341,8,0.669242469416764,167.386797060443,28,20.9233496325553
"29",29,10.4546254826255,5.95231282964372,22.009,3.06837125792037,8,0.647531131517853,142.068491731564,5,17.7585614664455
"30",30,13.9808588007737,7.16702047991224,27.696,1.83483585006215,8,0.510057285933923,184.126754816689,16,23.0158443520861
"31",31,3.79698936170213,5.2905630347963,27.948,1.98367766413574,8,0.504752248253373,135.168372309098,28,16.8960465386373
"32",32,3.32618417047184,0.281845704403149,4.098,5.99125773439753,8,1.05703590316153,33.9628287267373,4,4.24535359084216
"33",33,2.27771537290715,0.578852320374504,3.331,6.98992370619744,8,1.18797871888914,26.9557293723582,3,3.36946617154478
"34",34,5.3547199391172,7.13560272212738,25.302,5.23761574739687,8,0.908762113955053,146.947925245072,25,18.3684906556341
"35",35,2.26498173515982,0.398026043586603,2.901,6.76174907901449,8,1.15546831265195,26.7485637483246,3,3.34357046854057
"36",36,2.53963165905632,1.28295305128483,7.271,2.87728014611667,8,0.662527859405052,40.9112613343935,4,5.11390766679918
"37",37,7.46484170471842,3.84366414905856,19.53,1.98414188421126,8,0.457770152832136,121.479303895695,20,15.1849129869619
"38",38,3.5683572519084,4.96218091979108,22.205,5.0769686364167,7.69771865012255,0.876299472145434,30.6204670883882,1,3.97786259541985
"39",39,6.11873059360731,5.5255860316222,24.206,1.3543875409017,8,0.337503836562266,131.417994443469,24,16.4272493054336
"40",40,15.6182222222222,2.26692661746177,22.011,2.39895046576425,8,0.589294325043455,150.119144158144,19,18.764893019768
