"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0.428490896487576
"4",1,3,0.440387566866656
"5",1,4,0.0559571197571118
"6",1,5,0
"7",1,6,0.127219456201338
"8",1,7,0.48592168345474
"9",1,8,0.117445538018684
"10",1,9,0
"11",1,10,0
"12",1,11,3.53780534817246
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,1.32389606175473
"19",1,18,1.48287632928671
"20",1,19,0
"21",1,20,0
"22",1,21,0
"23",2,0,0
"24",2,1,0
"25",2,2,0.0590424350453107
"26",2,3,0.0736401409865514
"27",2,4,0
"28",2,5,0
"29",2,6,0.322405320964563
"30",2,7,0.213229185025698
"31",2,8,0.260493365203682
"32",2,9,0.287038844037003
"33",2,10,0
"34",2,11,0.565418306266814
"35",2,12,0.759074472643618
"36",2,13,0
"37",2,14,0
"38",2,15,2.35029172859157
"39",2,16,1.62582149791894
"40",2,17,1.48354470331624
"41",2,18,0
"42",2,19,0
"43",2,20,0
"44",2,21,0
"45",3,0,0
"46",3,1,0
"47",3,2,0
"48",3,3,0
"49",3,4,0.10899108092989
"50",3,5,0.0518673729539281
"51",3,6,0.164145784023514
"52",3,7,0.208162084958631
"53",3,8,1.01319810630371
"54",3,9,0
"55",3,10,0.1061981521506
"56",3,11,0.591197279418172
"57",3,12,0.880126701728894
"58",3,13,0.114184654977208
"59",3,14,0.311294672606727
"60",3,15,4.45063410994873
"61",3,16,0
"62",3,17,0
"63",3,18,0
"64",3,19,0
"65",3,20,0
"66",3,21,0
"67",4,0,0
"68",4,1,0
"69",4,2,0
"70",4,3,0.0181749793854324
"71",4,4,1.01513691580174
"72",4,5,0.0234854716698214
"73",4,6,1.50744586856589
"74",4,7,0.634683775067045
"75",4,8,1.83398358287758
"76",4,9,2.03107691255693
"77",4,10,0
"78",4,11,0.936012494075558
"79",4,12,0
"80",4,13,0
"81",4,14,0
"82",4,15,0
"83",4,16,0
"84",4,17,0
"85",4,18,0
"86",4,19,0
"87",4,20,0
"88",4,21,0
"89",5,0,0
"90",5,1,0
"91",5,2,0.166268212909822
"92",5,3,3.22144662512781
"93",5,4,1.45484686296095
"94",5,5,0
"95",5,6,0
"96",5,7,1.39249628311976
"97",5,8,0.810557537935384
"98",5,9,0.249402319364733
"99",5,10,0.415670532274556
"100",5,11,0
"101",5,12,0
"102",5,13,0.0207835266137278
"103",5,14,0
"104",5,15,0
"105",5,16,0
"106",5,17,0
"107",5,18,0
"108",5,19,0
"109",5,20,0
"110",5,21,0
"111",6,0,0
"112",6,1,0
"113",6,2,0
"114",6,3,0.210571328387019
"115",6,4,0.137596094653184
"116",6,5,0.206605450107973
"117",6,6,1.13512979918245
"118",6,7,0.409679787462636
"119",6,8,0.644978975505874
"120",6,9,1.08135485318076
"121",6,10,0.517185301044228
"122",6,11,3.65689841047587
"123",6,12,0
"124",6,13,0
"125",6,14,0
"126",6,15,0
"127",6,16,0
"128",6,17,0
"129",6,18,0
"130",6,19,0
"131",6,20,0
"132",6,21,0
"133",7,0,0
"134",7,1,0
"135",7,2,0
"136",7,3,0.424232087645793
"137",7,4,1.87874210243137
"138",7,5,0
"139",7,6,0
"140",7,7,0.505038199578324
"141",7,8,0.464635143612058
"142",7,9,0
"143",7,10,0.0606045839493989
"144",7,11,2.56559405385789
"145",7,12,0.686851951426521
"146",7,13,0
"147",7,14,0.525239727561457
"148",7,15,0.323224447730128
"149",7,16,0.040403055966266
"150",7,17,0.020201527983133
"151",7,18,0
"152",7,19,0
"153",7,20,0
"154",7,21,0
"155",8,0,0
"156",8,1,0
"157",8,2,0
"158",8,3,1.02909151983181
"159",8,4,5.09129488758897
"160",8,5,0
"161",8,6,0.0541627115700955
"162",8,7,0.108325423140191
"163",8,8,0.0180542371900318
"164",8,9,0.0361084743800636
"165",8,10,0
"166",8,11,0.0361084743800636
"167",8,12,0
"168",8,13,0
"169",8,14,0.0361084743800636
"170",8,15,0.0541627115700955
"171",8,16,0
"172",8,17,0
"173",8,18,0
"174",8,19,0.126379660330223
"175",8,20,0
"176",8,21,0.0180542371900318
"177",9,0,0
"178",9,1,0
"179",9,2,0
"180",9,3,0.0291985555689235
"181",9,4,0.425889341427502
"182",9,5,0.20143539317415
"183",9,6,0.353704614123756
"184",9,7,2.39686119115424
"185",9,8,4.59291090455143
"186",9,9,0
"187",9,10,0
"188",9,11,0
"189",9,12,0
"190",9,13,0
"191",9,14,0
"192",9,15,0
"193",9,16,0
"194",9,17,0
"195",9,18,0
"196",9,19,0
"197",9,20,0
"198",9,21,0
"199",10,0,0
"200",10,1,0
"201",10,2,0
"202",10,3,0
"203",10,4,0
"204",10,5,0
"205",10,6,0
"206",10,7,1.60143784274413
"207",10,8,2.3513543876299
"208",10,9,0
"209",10,10,0.481864690340703
"210",10,11,0.936435702022351
"211",10,12,2.62890737726292
"212",10,13,0
"213",10,14,0
"214",10,15,0
"215",10,16,0
"216",10,17,0
"217",10,18,0
"218",10,19,0
"219",10,20,0
"220",10,21,0
"221",11,0,0
"222",11,1,0
"223",11,2,0
"224",11,3,0
"225",11,4,0
"226",11,5,0
"227",11,6,0
"228",11,7,1.58351504906284
"229",11,8,0.978653767780001
"230",11,9,1.10850113621121
"231",11,10,1.91944581124495
"232",11,11,0.24521921222803
"233",11,12,0.687051269463172
"234",11,13,0
"235",11,14,1.4776137540098
"236",11,15,0
"237",11,16,0
"238",11,17,0
"239",11,18,0
"240",11,19,0
"241",11,20,0
"242",11,21,0
"243",12,0,0
"244",12,1,0
"245",12,2,0
"246",12,3,0
"247",12,4,0
"248",12,5,0
"249",12,6,0
"250",12,7,1.05040122282083
"251",12,8,1.37470677321371
"252",12,9,0.790910118690329
"253",12,10,0
"254",12,11,1.23293646279321
"255",12,12,0
"256",12,13,0
"257",12,14,2.61836499337109
"258",12,15,0
"259",12,16,0
"260",12,17,0
"261",12,18,0
"262",12,19,0.932680429110832
"263",12,20,0
"264",12,21,0
"265",13,0,0
"266",13,1,0
"267",13,2,0
"268",13,3,0
"269",13,4,0
"270",13,5,0
"271",13,6,0.543823006046829
"272",13,7,0.778305123188359
"273",13,8,4.05950687739372
"274",13,9,1.68568456426026
"275",13,10,0
"276",13,11,0.932680429110832
"277",13,12,0
"278",13,13,0
"279",13,14,0
"280",13,15,0
"281",13,16,0
"282",13,17,0
"283",13,18,0
"284",13,19,0
"285",13,20,0
"286",13,21,0
"287",14,0,0
"288",14,1,0
"289",14,2,0
"290",14,3,0
"291",14,4,0
"292",14,5,0.205074810016714
"293",14,6,0.189085936711788
"294",14,7,2.14221502501282
"295",14,8,1.73290251181535
"296",14,9,2.79804128733249
"297",14,10,0
"298",14,11,0.932680429110832
"299",14,12,0
"300",14,13,0
"301",14,14,0
"302",14,15,0
"303",14,16,0
"304",14,17,0
"305",14,18,0
"306",14,19,0
"307",14,20,0
"308",14,21,0
"309",15,0,0
"310",15,1,0
"311",15,2,0
"312",15,3,0
"313",15,4,0.00351629481511309
"314",15,5,0.233999276457552
"315",15,6,0.0211147507661399
"316",15,7,3.52418639422793
"317",15,8,2.35264232035086
"318",15,9,1.8645409633824
"319",15,10,0
"320",15,11,0
"321",15,12,0
"322",15,13,0
"323",15,14,0
"324",15,15,0
"325",15,16,0
"326",15,17,0
"327",15,18,0
"328",15,19,0
"329",15,20,0
"330",15,21,0
"331",16,0,0
"332",16,1,0
"333",16,2,0
"334",16,3,0
"335",16,4,0.0465890867548399
"336",16,5,0.665650118842709
"337",16,6,0.425516033529998
"338",16,7,0.562093386759236
"339",16,8,6.30015137411322
"340",16,9,0
"341",16,10,0
"342",16,11,0
"343",16,12,0
"344",16,13,0
"345",16,14,0
"346",16,15,0
"347",16,16,0
"348",16,17,0
"349",16,18,0
"350",16,19,0
"351",16,20,0
"352",16,21,0
"353",17,0,0
"354",17,1,0.0035270621238535
"355",17,2,0.12190477520945
"356",17,3,0.121304920783966
"357",17,4,0.795997358889191
"358",17,5,1.83512198049513
"359",17,6,0.73813576917298
"360",17,7,0
"361",17,8,2.21839124142139
"362",17,9,1.23293646279321
"363",17,10,0.932680429110832
"364",17,11,0
"365",17,12,0
"366",17,13,0
"367",17,14,0
"368",17,15,0
"369",17,16,0
"370",17,17,0
"371",17,18,0
"372",17,19,0
"373",17,20,0
"374",17,21,0
"375",18,0,0
"376",18,1,0
"377",18,2,0.543823006046829
"378",18,3,1.31451134310183
"379",18,4,1.61072185170349
"380",18,5,3.59826337003702
"381",18,6,0
"382",18,7,0
"383",18,8,0
"384",18,9,0
"385",18,10,0.932680429110832
"386",18,11,0
"387",18,12,0
"388",18,13,0
"389",18,14,0
"390",18,15,0
"391",18,16,0
"392",18,17,0
"393",18,18,0
"394",18,19,0
"395",18,20,0
"396",18,21,0
"397",19,0,0
"398",19,1,0
"399",19,2,0
"400",19,3,0.614231237788742
"401",19,4,0
"402",19,5,0
"403",19,6,0.459436964105061
"404",19,7,0.220523143298387
"405",19,8,1.84705345432014
"406",19,9,0.896796344417404
"407",19,10,1.34359386269918
"408",19,11,1.68568456426026
"409",19,12,0
"410",19,13,0.932680429110832
"411",19,14,0
"412",19,15,0
"413",19,16,0
"414",19,17,0
"415",19,18,0
"416",19,19,0
"417",19,20,0
"418",19,21,0
"419",20,0,0
"420",20,1,0
"421",20,2,0
"422",20,3,0.0649464441926464
"423",20,4,0.432204596627461
"424",20,5,0
"425",20,6,0.560961225624028
"426",20,7,0.604869027771005
"427",20,8,0
"428",20,9,2.99339434226601
"429",20,10,3.34362436351885
"430",20,11,0
"431",20,12,0
"432",20,13,0
"433",20,14,0
"434",20,15,0
"435",20,16,0
"436",20,17,0
"437",20,18,0
"438",20,19,0
"439",20,20,0
"440",20,21,0
"441",21,0,0
"442",21,1,0
"443",21,2,0.325364994085432
"444",21,3,0.39088063455062
"445",21,4,0.60787839404368
"446",21,5,0.14155904781887
"447",21,6,0.40386541287088
"448",21,7,0.938287562885783
"449",21,8,5.19216395374474
"450",21,9,0
"451",21,10,0
"452",21,11,0
"453",21,12,0
"454",21,13,0
"455",21,14,0
"456",21,15,0
"457",21,16,0
"458",21,17,0
"459",21,18,0
"460",21,19,0
"461",21,20,0
"462",21,21,0
"463",22,0,0
"464",22,1,0
"465",22,2,0.40070900307916
"466",22,3,0
"467",22,4,0
"468",22,5,0.768424466347835
"469",22,6,0.235372071637365
"470",22,7,1.7404933664632
"471",22,8,3.00474646146414
"472",22,9,0
"473",22,10,0
"474",22,11,0
"475",22,12,0
"476",22,13,0
"477",22,14,0
"478",22,15,1.8502546310083
"479",22,16,0
"480",22,17,0
"481",22,18,0
"482",22,19,0
"483",22,20,0
"484",22,21,0
"485",23,0,0
"486",23,1,0
"487",23,2,0
"488",23,3,0
"489",23,4,0
"490",23,5,0.765338829738792
"491",23,6,0.833831797220995
"492",23,7,0.267830479586285
"493",23,8,1.59350036926605
"494",23,9,0.609624747219587
"495",23,10,0.148450251419391
"496",23,11,0
"497",23,12,0.358045662920091
"498",23,13,0.350171441907842
"499",23,14,0
"500",23,15,3.07320642072097
"501",23,16,0
"502",23,17,0
"503",23,18,0
"504",23,19,0
"505",23,20,0
"506",23,21,0
"507",24,0,0
"508",24,1,0
"509",24,2,0
"510",24,3,0
"511",24,4,0
"512",24,5,0
"513",24,6,0.0681154126837519
"514",24,7,0.585792549080267
"515",24,8,1.97534696782881
"516",24,9,0
"517",24,10,0
"518",24,11,0
"519",24,12,0
"520",24,13,0
"521",24,14,1.14433893308703
"522",24,15,0.0136230825367504
"523",24,16,0
"524",24,17,0.34057706341876
"525",24,18,0.395069393565761
"526",24,19,0.0272461650735008
"527",24,20,0.572169466543516
"528",24,21,0
"529",25,0,0
"530",25,1,0
"531",25,2,0
"532",25,3,0
"533",25,4,0.0717924868065877
"534",25,5,0.0537526303782536
"535",25,6,0.138592287022816
"536",25,7,0.415432526284487
"537",25,8,0.650767831111172
"538",25,9,0
"539",25,10,0
"540",25,11,0
"541",25,12,0
"542",25,13,0
"543",25,14,0.371992253669557
"544",25,15,0
"545",25,16,0.416124965516759
"546",25,17,1.88321128298525
"547",25,18,0.57495587359631
"548",25,19,0
"549",25,20,3.42337786262881
"550",25,21,0
"551",26,0,0
"552",26,1,0
"553",26,2,0
"554",26,3,0
"555",26,4,0.0100226497793877
"556",26,5,0.175349921317124
"557",26,6,0.0869031302184168
"558",26,7,0.290700754565732
"559",26,8,1.20030828843018
"560",26,9,0.492180332796627
"561",26,10,0
"562",26,11,0
"563",26,12,0.0552358791957739
"564",26,13,0
"565",26,14,0.0576208871395535
"566",26,15,0.464876791073686
"567",26,16,0.672550448690959
"568",26,17,0.636539394354586
"569",26,18,0.0762879968890733
"570",26,19,1.00604157903644
"571",26,20,2.77538194651246
"572",26,21,0
"573",27,0,0
"574",27,1,0
"575",27,2,0
"576",27,3,0
"577",27,4,0
"578",27,5,0.193043147325963
"579",27,6,0
"580",27,7,0.520175874375398
"581",27,8,1.67487616992169
"582",27,9,0
"583",27,10,0.33827231473984
"584",27,11,0.163634449209226
"585",27,12,0
"586",27,13,0
"587",27,14,0.02933473227725
"588",27,15,1.46629210346691
"589",27,16,2.14807910521682
"590",27,17,1.46629210346691
"591",27,18,0
"592",27,19,0
"593",27,20,0
"594",27,21,0
"595",28,0,0
"596",28,1,0
"597",28,2,0
"598",28,3,0
"599",28,4,0
"600",28,5,0.0859161804057198
"601",28,6,0.932245607525273
"602",28,7,2.35620163454825
"603",28,8,0
"604",28,9,0
"605",28,10,0.1313856607282
"606",28,11,1.17770418231735
"607",28,12,0
"608",28,13,0
"609",28,14,0
"610",28,15,1.1684676292584
"611",28,16,0
"612",28,17,0
"613",28,18,0
"614",28,19,2.14807910521682
"615",28,20,0
"616",28,21,0
"617",29,0,0
"618",29,1,0
"619",29,2,0
"620",29,3,0
"621",29,4,0
"622",29,5,0
"623",29,6,0.140252446063415
"624",29,7,1.49242646610715
"625",29,8,2.1824503589057
"626",29,9,0
"627",29,10,0
"628",29,11,3.25974341341958
"629",29,12,0
"630",29,13,0
"631",29,14,0
"632",29,15,0
"633",29,16,0
"634",29,17,0
"635",29,18,0.925127315504152
"636",29,19,0
"637",29,20,0
"638",29,21,0
"639",30,0,0
"640",30,1,0
"641",30,2,0
"642",30,3,0
"643",30,4,0.0647862943913622
"644",30,5,0.0680922291015137
"645",30,6,0
"646",30,7,2.5186276847702
"647",30,8,0.901078438018099
"648",30,9,0.833044145035097
"649",30,10,0
"650",30,11,0
"651",30,12,0
"652",30,13,0
"653",30,14,0.297824474208512
"654",30,15,0.541164787962759
"655",30,16,0
"656",30,17,0
"657",30,18,0.383962527541393
"658",30,19,0.243340313754247
"659",30,20,2.14807910521682
"660",30,21,0
