"",".id","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","x.counter","sum.dee","fee","cvr","olai","vai"
"1","1",1,0,0,0,588,602,1,0,1,0,1,6.37672694789863,0,0,6.38128105090815,0
"2","1",1,1,232,14,588,602,1,232,0.605442176870748,0.501796217046596,1,6.37672694789863,0.0786918149618994,0.394557823129252,6.38128105090815,2.51778436022226
"3","1",1,2,1,14,588,602,1,233,0.603741496598639,0.00281294137661466,1,6.37672694789863,0.00044112620778621,0.00170068027210884,6.38128105090815,0.0108525187940615
"4","1",1,3,0,0,588,602,1,233,0.603741496598639,0,1,6.37672694789863,0,0,6.38128105090815,0
"5","1",1,4,1,14,588,602,1,234,0.602040816326531,0.00282087634164126,1,6.37672694789863,0.000442370571092251,0.00170068027210884,6.38128105090815,0.0108525187940615
"6","1",1,5,22,14,588,602,1,256,0.564625850340136,0.0641619442172861,1,6.37672694789863,0.0100618929964423,0.0374149659863946,6.38128105090815,0.238755413469353
"7","1",1,6,2,14,588,602,1,258,0.561224489795918,0.00604231445596266,1,6.37672694789863,0.00094755734490934,0.00340136054421769,6.38128105090815,0.021705037588123
"8","1",1,7,0,0,588,602,1,258,0.561224489795918,0,1,6.37672694789863,0,0,6.38128105090815,0
"9","1",1,8,0,0,588,602,1,258,0.561224489795918,0,1,6.37672694789863,0,0,6.38128105090815,0
"10","1",1,9,0,0,588,602,1,258,0.561224489795918,0,1,6.37672694789863,0,0,6.38128105090815,0
"11","1",1,10,23,14,588,602,1,281,0.522108843537415,0.0722449068733288,1,6.37672694789863,0.0113294653297231,0.0391156462585034,6.38128105090815,0.249607932263414
"12","1",1,11,17,14,588,602,1,298,0.493197278911565,0.0569668246066775,1,6.37672694789863,0.00893355244346007,0.0289115646258503,6.38128105090815,0.184492819499045
"13","1",1,12,23,14,588,602,1,321,0.454081632653061,0.0826322645802702,1,6.37672694789863,0.0129584135020084,0.0391156462585034,6.38128105090815,0.249607932263414
"14","1",1,13,47,14,588,602,1,368,0.374149659863946,0.193621112047888,1,6.37672694789863,0.0303637138033162,0.0799319727891157,6.38128105090815,0.51006838332089
"15","1",1,14,9,14,588,602,1,377,0.358843537414966,0.0417694128762951,1,6.37672694789863,0.00655029033194839,0.0153061224489796,6.38128105090815,0.0976726691465533
"16","1",1,15,49,14,588,602,1,426,0.275510204081633,0.264261798243683,1,6.37672694789863,0.0414416048237359,0.0833333333333333,6.38128105090815,0.531773420909013
"17","1",1,16,8,14,588,602,1,434,0.261904761904762,0.0506437328187547,1,6.37672694789863,0.00794196352337836,0.0136054421768707,6.38128105090815,0.0868201503524919
"18","1",1,17,35,14,588,602,1,469,0.202380952380952,0.2578291093021,1,6.37672694789863,0.0404328288491425,0.0595238095238095,6.38128105090815,0.379838157792152
"19","1",1,18,108,14,588,602,1,577,0.0187074829931973,2.38122822031316,1,6.37672694789863,0.373424836874639,0.183673469387755,6.38128105090815,1.17207202975864
"20","1",1,19,10,14,588,602,1,587,0.00170068027210884,2.39789527279837,1,6.37672694789863,0.376038568436519,0.0170068027210884,6.38128105090815,0.108525187940615
"21","1",1,20,0,0,588,602,1,587,0.00170068027210884,0,1,6.37672694789863,0,0,6.38128105090815,0
"22","1",1,21,0,0,588,602,1,587,0.00170068027210884,0,1,6.37672694789863,0,0,6.38128105090815,0
"23","1",1,22,1,14,588,602,1,588,0,0,1,6.37672694789863,0,0.00170068027210884,6.38128105090815,0.0108525187940615
"24","1",1,23,0,0,588,602,1,588,0,0,1,6.37672694789863,0,0,6.38128105090815,0
"25","1",1,24,0,0,588,602,1,588,0,0,1,6.37672694789863,0,0,6.38128105090815,0
"26","2",2,0,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"27","2",2,1,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"28","2",2,2,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"29","2",2,3,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"30","2",2,4,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"31","2",2,5,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"32","2",2,6,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"33","2",2,7,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"34","2",2,8,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"35","2",2,9,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"36","2",2,10,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"37","2",2,11,0,0,286,602,1,0,1,0,1,1.57845436691413,0,0,1.25614862982138,0
"38","2",2,12,13,316,286,602,1,13,0.954545454545455,0.0465200156348929,1,1.57845436691413,0.029471878699819,0.0454545454545455,1.25614862982138,0.0570976649918811
"39","2",2,13,68,316,286,602,1,81,0.716783216783217,0.286461816046552,1,1.57845436691413,0.181482481882946,0.237762237762238,1.25614862982138,0.298664709188301
"40","2",2,14,23,316,286,602,1,104,0.636363636363636,0.119003292061613,1,1.57845436691413,0.0753922916975189,0.0804195804195804,1.25614862982138,0.101018945754867
"41","2",2,15,82,316,286,602,1,186,0.34965034965035,0.598836501088704,1,1.57845436691413,0.379381573291488,0.286713286713287,1.25614862982138,0.360154502256481
"42","2",2,16,24,316,286,602,1,210,0.265734265734266,0.27443684570176,1,1.57845436691413,0.173864288670114,0.0839160839160839,1.25614862982138,0.105411073831165
"43","2",2,17,3,316,286,602,1,213,0.255244755244755,0.0402738991379399,1,1.57845436691413,0.0255147693732034,0.0104895104895105,1.25614862982138,0.0131763842288956
"44","2",2,18,2,316,286,602,1,215,0.248251748251748,0.0277795641070757,1,1.57845436691413,0.0175992190140945,0.00699300699300699,1.25614862982138,0.00878425615259709
"45","2",2,19,1,316,286,602,1,216,0.244755244755245,0.0141846349919564,1,1.57845436691413,0.00898640802628158,0.0034965034965035,1.25614862982138,0.00439212807629854
"46","2",2,20,11,316,286,602,1,227,0.206293706293706,0.170957798143639,1,1.57845436691413,0.108307089344534,0.0384615384615385,1.25614862982138,0.048313408839284
"47","2",2,21,59,316,286,602,1,286,0,0,1,1.57845436691413,0,0.206293706293706,1.25614862982138,0.259135556501614
"48","2",2,22,0,0,286,602,1,286,0,0,1,1.57845436691413,0,0,1.25614862982138,0
"49","2",2,23,0,0,286,602,1,286,0,0,1,1.57845436691413,0,0,1.25614862982138,0
"50","2",2,24,0,0,286,602,1,286,0,0,1,1.57845436691413,0,0,1.25614862982138,0
"51","3",3,0,0,0,584,602,1,0,1,0,1,6.36990098282823,0,0,6.08697619374512,0
"52","3",3,1,583,18,584,602,1,583,0.00171232876712329,6.36990098282823,1,6.36990098282823,1,0.998287671232877,6.08697619374512,6.07655328930378
"53","3",3,2,0,0,584,602,1,583,0.00171232876712329,0,1,6.36990098282823,0,0,6.08697619374512,0
"54","3",3,3,0,0,584,602,1,583,0.00171232876712329,0,1,6.36990098282823,0,0,6.08697619374512,0
"55","3",3,4,0,0,584,602,1,583,0.00171232876712329,0,1,6.36990098282823,0,0,6.08697619374512,0
"56","3",3,5,0,0,584,602,1,583,0.00171232876712329,0,1,6.36990098282823,0,0,6.08697619374512,0
"57","3",3,6,0,0,584,602,1,583,0.00171232876712329,0,1,6.36990098282823,0,0,6.08697619374512,0
"58","3",3,7,0,0,584,602,1,583,0.00171232876712329,0,1,6.36990098282823,0,0,6.08697619374512,0
"59","3",3,8,0,0,584,602,1,583,0.00171232876712329,0,1,6.36990098282823,0,0,6.08697619374512,0
