"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,2.51778436022226
"3",1,2,0.0108525187940615
"4",1,3,0
"5",1,4,0.0108525187940615
"6",1,5,0.238755413469353
"7",1,6,0.021705037588123
"8",1,7,0
"9",1,8,0
"10",1,9,0
"11",1,10,0.249607932263414
"12",1,11,0.184492819499045
"13",1,12,0.249607932263414
"14",1,13,0.51006838332089
"15",1,14,0.0976726691465533
"16",1,15,0.531773420909013
"17",1,16,0.0868201503524919
"18",1,17,0.379838157792152
"19",1,18,1.17207202975864
"20",1,19,0.108525187940615
"21",1,20,0
"22",1,21,0
"23",1,22,0.0108525187940615
"24",1,23,0
"25",1,24,0
"26",2,0,0
"27",2,1,0
"28",2,2,0
"29",2,3,0
"30",2,4,0
"31",2,5,0
"32",2,6,0
"33",2,7,0
"34",2,8,0
"35",2,9,0
"36",2,10,0
"37",2,11,0
"38",2,12,0.0570976649918811
"39",2,13,0.298664709188301
"40",2,14,0.101018945754867
"41",2,15,0.360154502256481
"42",2,16,0.105411073831165
"43",2,17,0.0131763842288956
"44",2,18,0.00878425615259709
"45",2,19,0.00439212807629854
"46",2,20,0.048313408839284
"47",2,21,0.259135556501614
"48",2,22,0
"49",2,23,0
"50",2,24,0
"51",3,0,0
"52",3,1,6.07655328930378
"53",3,2,0
"54",3,3,0
"55",3,4,0
"56",3,5,0
"57",3,6,0
"58",3,7,0
"59",3,8,0
"60",3,9,0
"61",3,10,0
"62",3,11,0
"63",3,12,0
"64",3,13,0
"65",3,14,0
"66",3,15,0
"67",3,16,0.0104229044413444
"68",3,17,0
"69",3,18,0
"70",3,19,0
"71",3,20,0
"72",3,21,0
"73",3,22,0
"74",3,23,0
"75",3,24,0
"76",4,0,0
"77",4,1,1.3899321070959
"78",4,2,6.6100678929041
"79",4,3,0
"80",4,4,0
"81",4,5,0
"82",4,6,0
"83",4,7,0
"84",4,8,0
"85",4,9,0
"86",4,10,0
"87",4,11,0
"88",4,12,0
"89",4,13,0
"90",4,14,0
"91",4,15,0
"92",4,16,0
"93",4,17,0
"94",4,18,0
"95",4,19,0
"96",4,20,0
"97",4,21,0
"98",4,22,0
"99",4,23,0
"100",4,24,0
"101",5,0,0
"102",5,1,2.08429463124174
"103",5,2,5.34500095619048
"104",5,3,0.242954588917749
"105",5,4,0
"106",5,5,0
"107",5,6,0
"108",5,7,0
"109",5,8,0
"110",5,9,0
"111",5,10,0
"112",5,11,0
"113",5,12,0
"114",5,13,0
"115",5,14,0
"116",5,15,0
"117",5,16,0
"118",5,17,0
"119",5,18,0
"120",5,19,0
"121",5,20,0
"122",5,21,0
"123",5,22,0
"124",5,23,0
"125",5,24,0
"126",6,0,0
"127",6,1,0.343707054197592
"128",6,2,0.871643332739555
"129",6,3,6.78464961306285
"130",6,4,0
"131",6,5,0
"132",6,6,0
"133",6,7,0
"134",6,8,0
"135",6,9,0
"136",6,10,0
"137",6,11,0
"138",6,12,0
"139",6,13,0
"140",6,14,0
"141",6,15,0
"142",6,16,0
"143",6,17,0
"144",6,18,0
"145",6,19,0
"146",6,20,0
"147",6,21,0
"148",6,22,0
"149",6,23,0
"150",6,24,0
"151",7,0,0
"152",7,1,0.365360183866987
"153",7,2,6.10673450177678
"154",7,3,1.23961490954871
"155",7,4,0
"156",7,5,0
"157",7,6,0
"158",7,7,0
"159",7,8,0
"160",7,9,0
"161",7,10,0
"162",7,11,0
"163",7,12,0
"164",7,13,0
"165",7,14,0
"166",7,15,0
"167",7,16,0
"168",7,17,0.104388623961996
"169",7,18,0.0130485779952495
"170",7,19,0
"171",7,20,0
"172",7,21,0
"173",7,22,0
"174",7,23,0
"175",7,24,0
"176",8,0,0
"177",8,1,1.27750874673221
"178",8,2,5.60887173565284
"179",8,3,0
"180",8,4,0
"181",8,5,0
"182",8,6,0
"183",8,7,0
"184",8,8,0
"185",8,9,0
"186",8,10,0
"187",8,11,0
"188",8,12,0
"189",8,13,0
"190",8,14,0
"191",8,15,0.0243334999377563
"192",8,16,0.0243334999377563
"193",8,17,0.146000999626538
"194",8,18,0.182501249533173
"195",8,19,0
"196",8,20,0
"197",8,21,0
"198",8,22,0
"199",8,23,0
"200",8,24,0
"201",9,0,0
"202",9,1,0.494306970827645
"203",9,2,5.26666442049988
"204",9,3,0
"205",9,4,0
"206",9,5,0
"207",9,6,0
"208",9,7,0
"209",9,8,0
"210",9,9,0
"211",9,10,0
"212",9,11,0
"213",9,12,0
"214",9,13,0
"215",9,14,0
"216",9,15,0
"217",9,16,0
"218",9,17,0.227833695677491
"219",9,18,0
"220",9,19,0
"221",9,20,2.01119491299498
"222",9,21,0
"223",9,22,0
"224",9,23,0
"225",9,24,0
"226",10,0,0
"227",10,1,1.1354452066227
"228",10,2,4.54178082649079
"229",10,3,0.888120508150426
"230",10,4,0
"231",10,5,0
"232",10,6,0
"233",10,7,0
"234",10,8,0
"235",10,9,0
"236",10,10,0
"237",10,11,0
"238",10,12,0
"239",10,13,0
"240",10,14,0
"241",10,15,0
"242",10,16,0
"243",10,17,0
"244",10,18,0
"245",10,19,0.0562101587436978
"246",10,20,0.0112420317487396
"247",10,21,0
"248",10,22,0
"249",10,23,0
"250",10,24,0
"251",11,0,0
"252",11,1,0
"253",11,2,0.812420429284069
"254",11,3,0
"255",11,4,0
"256",11,5,0
"257",11,6,0
"258",11,7,0
"259",11,8,0
"260",11,9,0
"261",11,10,0
"262",11,11,0
"263",11,12,0
"264",11,13,0
"265",11,14,0
"266",11,15,0
"267",11,16,0.0883065684004423
"268",11,17,0.300242332561504
"269",11,18,1.57185691752787
"270",11,19,2.20766421001106
"271",11,20,1.64250217224823
"272",11,21,0.158951823120796
"273",11,22,0.0176613136800885
"274",11,23,0
"275",11,24,0
"276",12,0,0
"277",12,1,0
"278",12,2,0
"279",12,3,0
"280",12,4,0
"281",12,5,0
"282",12,6,0
"283",12,7,0
"284",12,8,0
"285",12,9,0.0347253533174989
"286",12,10,0.0648670290852298
"287",12,11,0.00740512196510878
"288",12,12,0.0111849633754898
"289",12,13,0.109156404292489
"290",12,14,0.0881281274406302
"291",12,15,0.175880563353808
"292",12,16,0.273367213671897
"293",12,17,0.602345223481763
"294",12,18,0.332774922665316
"295",12,19,0.953635355162063
"296",12,20,0.787824377716452
"297",12,21,3.08620929385884
"298",12,22,1.47249605061341
"299",12,23,0
"300",12,24,0
"301",13,0,0
"302",13,1,0
"303",13,2,0
"304",13,3,0
"305",13,4,0
"306",13,5,0
"307",13,6,0.133242442659509
"308",13,7,0.00379158291412027
"309",13,8,0
"310",13,9,0.191509406074861
"311",13,10,0.0766107747990773
"312",13,11,0.071437350466529
"313",13,12,0.155423772975271
"314",13,13,0.0618288247683748
"315",13,14,0.287628755242654
"316",13,15,0.433979482277991
"317",13,16,0.728073242402732
"318",13,17,1.01667562995786
"319",13,18,1.12363245406716
"320",13,19,0.629956987535021
"321",13,20,0.684671672896962
"322",13,21,2.40153762096188
"323",13,22,0
"324",13,23,0
"325",13,24,0
"326",14,0,0
"327",14,1,0
"328",14,2,0.0919450638480186
"329",14,3,0.0371145708128021
"330",14,4,0
"331",14,5,0
"332",14,6,0
"333",14,7,0
"334",14,8,0
"335",14,9,0.101604087613302
"336",14,10,0.0287246907780842
"337",14,11,0.00415426790710918
"338",14,12,0.158840443317376
"339",14,13,0.0623252061397131
"340",14,14,0.150458744439448
"341",14,15,0.182039995202816
"342",14,16,0.0710395487330779
"343",14,17,0.708921120509086
"344",14,18,1.10915219830206
"345",14,19,0.692994583690113
"346",14,20,1.16429373936696
"347",14,21,3.43639173934003
"348",14,22,0
"349",14,23,0
"350",14,24,0
"351",15,0,0
"352",15,1,0
"353",15,2,0
"354",15,3,0
"355",15,4,0
"356",15,5,0
"357",15,6,0
"358",15,7,0
"359",15,8,0
"360",15,9,0
"361",15,10,0
"362",15,11,0
"363",15,12,1.49213446420145
"364",15,13,0.547745562808126
"365",15,14,0
"366",15,15,0
"367",15,16,0
"368",15,17,0.0377755560557329
"369",15,18,1.98321669292597
"370",15,19,1.03882779153265
"371",15,20,1.66212446645225
"372",15,21,0.0377755560557329
"373",15,22,0.509970006752394
"374",15,23,0
"375",15,24,0
"376",16,0,0
"377",16,1,0.359560570054583
"378",16,2,0.107283135411288
"379",16,3,0
"380",16,4,0
"381",16,5,0
"382",16,6,0
"383",16,7,0
"384",16,8,0
"385",16,9,0
"386",16,10,0
"387",16,11,0.00486506402144806
"388",16,12,0.0547146853619416
"389",16,13,0.275183292805395
"390",16,14,0
"391",16,15,0
"392",16,16,0
"393",16,17,0.110403797278122
"394",16,18,0.503441847245609
"395",16,19,0.7451476601381
"396",16,20,3.23125052236962
"397",16,21,0.206611804352011
"398",16,22,0.929041570348466
"399",16,23,0
"400",16,24,1.47249605061341
"401",17,0,0
"402",17,1,0
"403",17,2,0.11409020153542
"404",17,3,0
"405",17,4,0
"406",17,5,0
"407",17,6,0
"408",17,7,0
"409",17,8,0
"410",17,9,0
"411",17,10,0
"412",17,11,0.0263073032718297
"413",17,12,0
"414",17,13,0.0229677109413631
"415",17,14,0
"416",17,15,0.30670088885299
"417",17,16,0.738867835032029
"418",17,17,1.57699854495198
"419",17,18,0.570846707771705
"420",17,19,1.55833167730792
"421",17,20,2.15624496880623
"422",17,21,0
"423",17,22,0.928644161528537
"424",17,23,0
"425",17,24,0
"426",18,0,0
"427",18,1,0.654169944482348
"428",18,2,2.18538610611498
"429",18,3,0
"430",18,4,0
"431",18,5,0
"432",18,6,0
"433",18,7,0
"434",18,8,0
"435",18,9,0
"436",18,10,0
"437",18,11,0
"438",18,12,0
"439",18,13,0.0582841246654685
"440",18,14,0
"441",18,15,0.0609342959022354
"442",18,16,2.25410081778957
"443",18,17,0
