"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0.43806817959646
"6",1,5,0.139035784615677
"7",1,6,1.40813460814805
"8",1,7,0
"9",1,8,0.944245859147483
"10",1,9,0.282345589609797
"11",1,10,0
"12",1,11,0
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0.152631703381208
"18",1,17,0
"19",1,18,0
"20",1,19,0.0328670220615194
"21",1,20,0.104056622736145
"22",1,21,0.708087007977615
"23",1,22,0.877045508279063
"24",1,23,1.52339787239875
"25",1,24,0.513038733769178
"26",1,25,0.877045508279063
"27",2,0,0
"28",2,1,0
"29",2,2,0
"30",2,3,0
"31",2,4,0.38553684662582
"32",2,5,0.442642989339177
"33",2,6,0.634911062498797
"34",2,7,0
"35",2,8,1.74737788285776
"36",2,9,0.185551461299699
"37",2,10,0
"38",2,11,0
"39",2,12,0
"40",2,13,0
"41",2,14,0.635482169791217
"42",2,15,0.0562612144618782
"43",2,16,0
"44",2,17,0.120631132631164
"45",2,18,0.364110258828451
"46",2,19,0.181118290662025
"47",2,20,0.211435163431154
"48",2,21,1.28035183646727
"49",2,22,0.877294845552794
"50",2,23,0
"51",2,24,0.877294845552794
"52",2,25,0
"53",3,0,0
"54",3,1,0
"55",3,2,0
"56",3,3,0
"57",3,4,0.206509580367209
"58",3,5,2.41358072054175
"59",3,6,3.49775601746959
"60",3,7,0.0129068487729505
"61",3,8,0.219416429140159
"62",3,9,0.167789034048357
"63",3,10,0
"64",3,11,0
"65",3,12,0
"66",3,13,0
"67",3,14,0.0903479414106537
"68",3,15,0.0129068487729505
"69",3,16,0
"70",3,17,0
"71",3,18,0
"72",3,19,0
"73",3,20,0
"74",3,21,0.0387205463188516
"75",3,22,0.0903479414106537
"76",3,23,0.0387205463188516
"77",3,24,0.129068487729505
"78",3,25,0.167789034048357
"79",4,0,0
"80",4,1,0
"81",4,2,0
"82",4,3,0
"83",4,4,0.150386568172734
"84",4,5,0.213047638244707
"85",4,6,1.76704217602963
"86",4,7,0.426095276489413
"87",4,8,0.626610700719726
"88",4,9,0
"89",4,10,0
"90",4,11,0
"91",4,12,0
"92",4,13,0
"93",4,14,0
"94",4,15,0
"95",4,16,0.927383837065194
"96",4,17,1.40360796961219
"97",4,18,0.288240922331074
"98",4,19,0.187983210215918
"99",4,20,0.0125322140143945
"100",4,21,0.0501288560575781
"101",4,22,0.238112066273496
"102",4,23,0.438627490503808
"103",4,24,0.125322140143945
"104",4,25,0
"105",5,0,0
"106",5,1,0
"107",5,2,0
"108",5,3,0
"109",5,4,0
"110",5,5,0
"111",5,6,0.360692737773075
"112",5,7,0.0250481067897969
"113",5,8,0
"114",5,9,0
"115",5,10,0
"116",5,11,0
"117",5,12,0
"118",5,13,0
"119",5,14,0
"120",5,15,0.145279019380822
"121",5,16,0.515990999869816
"122",5,17,0.08015394172735
"123",5,18,0
"124",5,19,0
"125",5,20,0.0150288640738781
"126",5,21,0.0751443203693906
"127",5,22,0.195375232960416
"128",5,23,0.0300577281477563
"129",5,24,0.040076970863675
"130",5,25,0
"131",6,0,0
"132",6,1,0.268773107955394
"133",6,2,0
"134",6,3,0
"135",6,4,0
"136",6,5,0
"137",6,6,0
"138",6,7,0
"139",6,8,0
"140",6,9,0
"141",6,10,0
"142",6,11,0
"143",6,12,0
"144",6,13,0
"145",6,14,0
"146",6,15,0.368318703494429
"147",6,16,0.333477745055767
"148",6,17,0.0995455955390349
"149",6,18,0.039818238215614
"150",6,19,0.019909119107807
"151",6,20,0.0497727977695174
"152",6,21,0.0746591966542762
"153",6,22,0.119454714646842
"154",6,23,0.0597273573234209
"155",6,24,0.019909119107807
"156",6,25,0
"157",7,0,0
"158",7,1,0
"159",7,2,1.57049546520859
"160",7,3,0.199184790709382
"161",7,4,0
"162",7,5,0
"163",7,6,0
"164",7,7,0
"165",7,8,0
"166",7,9,0
"167",7,10,0
"168",7,11,0
"169",7,12,0
"170",7,13,0
"171",7,14,0.0766095348882239
"172",7,15,0.252811465131139
"173",7,16,0.145558116287625
"174",7,17,0.566910558172857
"175",7,18,0.0306438139552895
"176",7,19,0.0459657209329343
"177",7,20,0
"178",7,21,0.0919314418658686
"179",7,22,0.467318162818166
"180",7,23,0.00766095348882239
"181",7,24,0.168540976754092
"182",7,25,0
"183",8,0,0
"184",8,1,0
"185",8,2,1.72374321274443
"186",8,3,0.275125138190479
"187",8,4,0
"188",8,5,0
"189",8,6,0
"190",8,7,0
"191",8,8,0
"192",8,9,0
"193",8,10,0
"194",8,11,0
"195",8,12,0
"196",8,13,0
"197",8,14,0
"198",8,15,0.0056147987385812
"199",8,16,0.0056147987385812
"200",8,17,0.0056147987385812
"201",8,18,0
"202",8,19,0
"203",8,20,0
"204",8,21,0
"205",8,22,0
"206",8,23,0
"207",8,24,0
"208",8,25,0
"209",9,0,0
"210",9,1,0
"211",9,2,0
"212",9,3,0
"213",9,4,0
"214",9,5,0
"215",9,6,0
"216",9,7,0
"217",9,8,0
"218",9,9,0
"219",9,10,0
"220",9,11,0
"221",9,12,0
"222",9,13,0
"223",9,14,0
"224",9,15,0
"225",9,16,0
"226",9,17,0.0958447899704174
"227",9,18,0
"228",9,19,0
"229",9,20,0.0700404234399204
"230",9,21,0
"231",9,22,0
"232",9,23,0
"233",9,24,0
"234",9,25,0
"235",10,0,0
"236",10,1,0
"237",10,2,0.00750842331857976
"238",10,3,0
"239",10,4,0
"240",10,5,0
"241",10,6,0
"242",10,7,0
"243",10,8,0
"244",10,9,0
"245",10,10,0
"246",10,11,0
"247",10,12,0
"248",10,13,0
"249",10,14,0
"250",10,15,0
"251",10,16,0
"252",10,17,0
"253",10,18,0
"254",10,19,0
"255",10,20,0.225252699557393
"256",10,21,0
"257",10,22,0
"258",10,23,0
"259",10,24,0
"260",10,25,0
"261",11,0,0
"262",11,1,0
"263",11,2,0.0795473025119904
"264",11,3,0
"265",11,4,0
"266",11,5,0
"267",11,6,0
"268",11,7,0
"269",11,8,0
"270",11,9,0
"271",11,10,0
"272",11,11,0
"273",11,12,0
"274",11,13,0
"275",11,14,0
"276",11,15,0
"277",11,16,0
"278",11,17,0
"279",11,18,0
"280",11,19,0
"281",11,20,0.170879390581313
"282",11,21,0
"283",11,22,0
"284",11,23,0
"285",11,24,0
"286",11,25,0
"287",12,0,0
"288",12,1,0.18265068692743
"289",12,2,0.56486416142372
"290",12,3,0
"291",12,4,0
"292",12,5,0
"293",12,6,0
"294",12,7,0
"295",12,8,0
"296",12,9,0
"297",12,10,0
"298",12,11,0
"299",12,12,0
"300",12,13,0
"301",12,14,0
"302",12,15,0
"303",12,16,0
"304",12,17,0
"305",12,18,0
"306",12,19,0
"307",12,20,0.081178083078858
"308",12,21,0
"309",12,22,0
"310",12,23,0
"311",12,24,0
"312",12,25,0
"313",13,0,0
"314",13,1,0
"315",13,2,0
"316",13,3,0
"317",13,4,0
"318",13,5,0
"319",13,6,0
"320",13,7,0
"321",13,8,0
"322",13,9,0
"323",13,10,0.0242078151383102
"324",13,11,0.17248068286046
"325",13,12,0.00302597689228878
"326",13,13,0.0786753991995082
"327",13,14,0.00605195378457755
"328",13,15,0
"329",13,16,0
"330",13,17,0
"331",13,18,0
"332",13,19,0.0484156302766204
"333",13,20,0.027233792030599
"334",13,21,0
"335",13,22,0
"336",13,23,0
"337",13,24,0
"338",13,25,0
"339",14,0,0
"340",14,1,0
"341",14,2,0.258735343535736
"342",14,3,0.0174821178064686
"343",14,4,0.0104892706838812
"344",14,5,0
"345",14,6,0
"346",14,7,0
"347",14,8,0
"348",14,9,0.0734248947871683
"349",14,10,0.090907012593637
"350",14,11,0.0664320476645809
"351",14,12,0.0279713884903498
"352",14,13,0.0664320476645809
"353",14,14,0.0734248947871683
"354",14,15,0.0139856942451749
"355",14,16,0
"356",14,17,0.00699284712258746
"357",14,18,0.0279713884903498
"358",14,19,0.0349642356129373
"359",14,20,0.108389130400106
"360",14,21,0.0139856942451749
"361",14,22,0.0314678120516436
"362",14,23,0.0454535062968185
"363",14,24,0.00349642356129373
"364",14,25,0
"365",15,0,0
"366",15,1,0
"367",15,2,0.445659329311953
"368",15,3,0
"369",15,4,0.125226588401706
"370",15,5,0
"371",15,6,0
"372",15,7,0
"373",15,8,0
"374",15,9,0.276235121474351
"375",15,10,0
"376",15,11,0
"377",15,12,0
"378",15,13,0
"379",15,14,0
"380",15,15,0
"381",15,16,0
"382",15,17,0.143642263166663
"383",15,18,0.0405144844829048
"384",15,19,0.132592858307689
"385",15,20,0.0257819446709395
"386",15,21,0.0110494048589741
"387",15,22,0
"388",15,23,0
"389",15,24,0
"390",15,25,0
"391",16,0,0
"392",16,1,0
"393",16,2,0
"394",16,3,0.00384622703925545
"395",16,4,0.234619849394583
"396",16,5,0
"397",16,6,0
"398",16,7,0
"399",16,8,0.0692320867065982
"400",16,9,0.850016175675455
"401",16,10,0.0269235892747882
"402",16,11,0
"403",16,12,0
"404",16,13,0.0653858596673427
"405",16,14,0.0115386811177664
"406",16,15,0
"407",16,16,0.0269235892747882
"408",16,17,0.100001903020642
"409",16,18,0
"410",16,19,0
"411",16,20,0
"412",16,21,0
"413",16,22,0
"414",16,23,0
"415",16,24,0
"416",16,25,0
"417",17,0,0
"418",17,1,0
"419",17,2,0
"420",17,3,0
"421",17,4,0.729244598755529
"422",17,5,0.0453597118843152
"423",17,6,0
"424",17,7,0.0732733807362015
"425",17,8,0.00348920860648578
"426",17,9,0
"427",17,10,0
"428",17,11,0
"429",17,12,0
"430",17,13,0
"431",17,14,0
"432",17,15,0
"433",17,16,0
"434",17,17,0
"435",17,18,0
"436",17,19,0.0732733807362015
"437",17,20,0.0383812946713436
"438",17,21,0
"439",17,22,0
"440",17,23,0
"441",17,24,0
"442",17,25,0
"443",18,0,0
"444",18,1,0
"445",18,2,0
"446",18,3,0.107518055120165
"447",18,4,0.338482766119038
"448",18,5,0.0597322528445362
"449",18,6,0.505733074083739
"450",18,7,0.211053960050694
"451",18,8,0.290696963843409
"452",18,9,0.0199107509481787
"453",18,10,0
"454",18,11,0
"455",18,12,0.0199107509481787
"456",18,13,0
"457",18,14,0
"458",18,15,0
"459",18,16,0
"460",18,17,0
"461",18,18,0
"462",18,19,0
"463",18,20,0
"464",18,21,0
"465",18,22,0
"466",18,23,0
"467",18,24,0
"468",18,25,0
"469",19,0,0
"470",19,1,0
"471",19,2,0.629835763937402
"472",19,3,0.328414362624503
"473",19,4,0.904264203938699
"474",19,5,0.0989741914758775
"475",19,6,0.166456594754885
"476",19,7,0
"477",19,8,0
"478",19,9,0
"479",19,10,0
"480",19,11,0
"481",19,12,0
"482",19,13,0
"483",19,14,0
"484",19,15,0
"485",19,16,0
"486",19,17,0
"487",19,18,0
"488",19,19,0
"489",19,20,0
"490",19,21,0
"491",19,22,0
"492",19,23,0
"493",19,24,0
"494",19,25,0
"495",20,0,0
"496",20,1,0
"497",20,2,0.604193121292141
"498",20,3,1.13286210242276
"499",20,4,0.211467592452249
"500",20,5,1.27635796872965
"501",20,6,0.732584159566721
"502",20,7,0.468249669001409
"503",20,8,0.0755241401615176
"504",20,9,0.271886904581464
"505",20,10,0.211467592452249
"506",20,11,0.00755241401615176
"507",20,12,0
"508",20,13,0
"509",20,14,0
"510",20,15,0
"511",20,16,0
"512",20,17,0
"513",20,18,0
"514",20,19,0
"515",20,20,0
"516",20,21,0
"517",20,22,0
"518",20,23,0.00755241401615176
"519",20,24,0
"520",20,25,0
"521",21,0,0
"522",21,1,0
"523",21,2,0
"524",21,3,0.640100057286731
"525",21,4,0
"526",21,5,0.0400062535804207
"527",21,6,2.40037521482524
"528",21,7,0.300046901853155
"529",21,8,1.24019386099304
"530",21,9,2.78043462383924
"531",21,10,0.240037521482524
"532",21,11,0
"533",21,12,0
"534",21,13,0
"535",21,14,0
"536",21,15,0
"537",21,16,0
"538",21,17,0
"539",21,18,0.100015633951052
"540",21,19,0
"541",21,20,0
"542",21,21,0
"543",21,22,0
"544",21,23,0
"545",21,24,0
"546",21,25,0
"547",22,0,0
"548",22,1,0
"549",22,2,0.00345296520342569
"550",22,3,0.875632038561613
"551",22,4,2.43043317650963
"552",22,5,0.543921809028395
"553",22,6,0
"554",22,7,0
"555",22,8,4.14656001069693
"556",22,9,0
"557",22,10,0
"558",22,11,0
"559",22,12,0
"560",22,13,0
"561",22,14,0
"562",22,15,0
"563",22,16,0
"564",22,17,0
"565",22,18,0
"566",22,19,0
"567",22,20,0
"568",22,21,0
"569",22,22,0
"570",22,23,0
"571",22,24,0
"572",22,25,0
"573",23,0,0
"574",23,1,0
"575",23,2,0.17666821718518
"576",23,3,0.0979018796613573
"577",23,4,1.67421904926402
"578",23,5,2.83449131733886
"579",23,6,2.28687906240423
"580",23,7,0
"581",23,8,0.929840474146351
"582",23,9,0
"583",23,10,0
"584",23,11,0
"585",23,12,0
"586",23,13,0
"587",23,14,0
"588",23,15,0
"589",23,16,0
"590",23,17,0
"591",23,18,0
"592",23,19,0
"593",23,20,0
"594",23,21,0
"595",23,22,0
"596",23,23,0
"597",23,24,0
"598",23,25,0
"599",24,0,0
"600",24,1,0
"601",24,2,0
"602",24,3,0.240639883362586
"603",24,4,3.18847845455426
"604",24,5,1.12298612235873
"605",24,6,0.280746530589683
"606",24,7,1.00266618067744
"607",24,8,0.681813002860659
"608",24,9,0.401066472270976
"609",24,10,0.401066472270976
"610",24,11,0.16042658890839
"611",24,12,0.240639883362586
"612",24,13,0.0200533236135488
"613",24,14,0
"614",24,15,0
"615",24,16,0
"616",24,17,0
"617",24,18,0
"618",24,19,0
"619",24,20,0
"620",24,21,0
"621",24,22,0
"622",24,23,0
"623",24,24,0
"624",24,25,0
"625",25,0,0
"626",25,1,0
"627",25,2,0.940146959139886
"628",25,3,5.70089113520995
"629",25,4,0.400062535804207
"630",25,5,0.280043775062945
"631",25,6,0.0200031267902103
"632",25,7,0
"633",25,8,0.200031267902103
"634",25,9,0.140021887531472
"635",25,10,0.060009380370631
"636",25,11,0
"637",25,12,0
"638",25,13,0
"639",25,14,0
"640",25,15,0
"641",25,16,0
"642",25,17,0
"643",25,18,0
"644",25,19,0
"645",25,20,0
"646",25,21,0
"647",25,22,0
"648",25,23,0
"649",25,24,0
"650",25,25,0
"651",26,0,0
"652",26,1,0
"653",26,2,0
"654",26,3,0.571797643046074
"655",26,4,1.05137405675784
"656",26,5,0.133651064514406
"657",26,6,0.0654508460213805
"658",26,7,0.040860303156429
"659",26,8,0.130625127514234
"660",26,9,2.56542233692333
"661",26,10,2.51097814791995
"662",26,11,0
"663",26,12,0
"664",26,13,0.929840474146351
"665",26,14,0
"666",26,15,0
"667",26,16,0
"668",26,17,0
"669",26,18,0
"670",26,19,0
"671",26,20,0
"672",26,21,0
"673",26,22,0
"674",26,23,0
"675",26,24,0
"676",26,25,0
"677",27,0,0
"678",27,1,0
"679",27,2,0
"680",27,3,0.181184514424683
"681",27,4,0.00396471632433476
"682",27,5,0.124738841472426
"683",27,6,0.774108601636983
"684",27,7,0
"685",27,8,0.479786248839202
"686",27,9,0.91919619916558
"687",27,10,2.18213824245703
"688",27,11,1.47439866408513
"689",27,12,0.930241985797317
"690",27,13,0.930241985797317
"691",27,14,0
"692",27,15,0
"693",27,16,0
"694",27,17,0
"695",27,18,0
"696",27,19,0
"697",27,20,0
"698",27,21,0
"699",27,22,0
"700",27,23,0
"701",27,24,0
"702",27,25,0
"703",28,0,0
"704",28,1,0
"705",28,2,0
"706",28,3,0.153269782576264
"707",28,4,0.213248207444954
"708",28,5,0.350143845271618
"709",28,6,0.635213913080421
"710",28,7,0.0383305002551959
"711",28,8,0.00975623384551745
"712",28,9,0
"713",28,10,0.862991528737483
"714",28,11,0.222406370791604
"715",28,12,0.13889736076256
"716",28,13,2.58622083479533
"717",28,14,2.78952142243905
"718",28,15,0
"719",28,16,0
"720",28,17,0
"721",28,18,0
"722",28,19,0
"723",28,20,0
"724",28,21,0
"725",28,22,0
"726",28,23,0
"727",28,24,0
"728",28,25,0
"729",29,0,0
"730",29,1,0
"731",29,2,0
"732",29,3,0
"733",29,4,0
"734",29,5,0.795508137007831
"735",29,6,0.563484930380547
"736",29,7,0
"737",29,8,0
"738",29,9,0
"739",29,10,3.24832489278198
"740",29,11,0.348034809940926
"741",29,12,0.397754068503916
"742",29,13,0.464046413254568
"743",29,14,0.0331461723753263
"744",29,15,0.281742465190274
"745",29,16,0
"746",29,17,0.0497192585629894
"747",29,18,0
"748",29,19,0.0828654309383157
"749",29,20,0
"750",29,21,0
"751",29,22,0
"752",29,23,0
"753",29,24,0
"754",29,25,0
"755",30,0,0
"756",30,1,0
"757",30,2,0
"758",30,3,1.70395077347724
"759",30,4,0
"760",30,5,0
"761",30,6,0
"762",30,7,0
"763",30,8,0
"764",30,9,0
"765",30,10,1.56347769040798
"766",30,11,1.09821787016304
"767",30,12,0
"768",30,13,0.416245127300545
"769",30,14,0.813467888768739
"770",30,15,0.544156678287813
"771",30,16,0
"772",30,17,0
"773",30,18,0
"774",30,19,1.86048397159463
"775",30,20,0
"776",30,21,0
"777",30,22,0
"778",30,23,0
"779",30,24,0
"780",30,25,0
