"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,1.11793238929874
"4",1,3,0
"5",1,4,2.62284137489319
"6",1,5,0.71662332647355
"7",1,6,1.10359992276927
"8",1,7,0
"9",1,8,0.114659732235768
"10",1,9,0.071662332647355
"11",1,10,0
"12",1,11,0.085994799176826
"13",1,12,0
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0
"18",1,17,0
"19",1,18,0
"20",1,19,0
"21",1,20,0.042997399588413
"22",2,0,0
"23",2,1,0
"24",2,2,0
"25",2,3,0
"26",2,4,0.725122711426749
"27",2,5,0.820893635577452
"28",2,6,2.81840148214925
"29",2,7,0
"30",2,8,1.03979860506477
"31",2,9,0
"32",2,10,0.150497166522533
"33",2,11,0
"34",2,12,0
"35",2,13,0
"36",2,14,0
"37",2,15,0
"38",2,16,0
"39",2,17,0
"40",2,18,0
"41",2,19,0
"42",2,20,0
"43",3,0,0
"44",3,1,0
"45",3,2,0
"46",3,3,0
"47",3,4,0.0156004702159766
"48",3,5,0.270746637034458
"49",3,6,1.11061404741925
"50",3,7,0.121481101806509
"51",3,8,0.7080119500103
"52",3,9,1.23606576197122
"53",3,10,0.394412062269544
"54",3,11,0.399417160975202
"55",3,12,3.74365080829753
"56",3,13,0
"57",3,14,0
"58",3,15,0
"59",3,16,0
"60",3,17,0
"61",3,18,0
"62",3,19,0
"63",3,20,0
"64",4,0,0
"65",4,1,0
"66",4,2,0
"67",4,3,0
"68",4,4,0
"69",4,5,0.0282929191103871
"70",4,6,0.298145364417834
"71",4,7,1.06795874627995
"72",4,8,0.70230842974041
"73",4,9,0.385349046416322
"74",4,10,2.2332527799261
"75",4,11,0
"76",4,12,3.284692714109
"77",4,13,0
"78",4,14,0
"79",4,15,0
"80",4,16,0
"81",4,17,0
"82",4,18,0
"83",4,19,0
"84",4,20,0
"85",5,0,0
"86",5,1,0
"87",5,2,0
"88",5,3,0
"89",5,4,0
"90",5,5,0.0799121642866127
"91",5,6,0.817493391857827
"92",5,7,3.81917676281905
"93",5,8,1.83177239950265
"94",5,9,1.45164528153386
"95",5,10,0
"96",5,11,0
"97",5,12,0
"98",5,13,0
"99",5,14,0
"100",5,15,0
"101",5,16,0
"102",5,17,0
"103",5,18,0
"104",5,19,0
"105",5,20,0
"106",6,0,0
"107",6,1,0
"108",6,2,0
"109",6,3,0.0570453109146242
"110",6,4,1.12606545570863
"111",6,5,0
"112",6,6,0.692815675899666
"113",6,7,1.46453654942822
"114",6,8,0.840360245229816
"115",6,9,1.24795913190252
"116",6,10,2.57121763091652
"117",6,11,0
"118",6,12,0
"119",6,13,0
"120",6,14,0
"121",6,15,0
"122",6,16,0
"123",6,17,0
"124",6,18,0
"125",6,19,0
"126",6,20,0
"127",7,0,0
"128",7,1,0
"129",7,2,0.0378600845611455
"130",7,3,0.462814497297653
"131",7,4,1.45220899164426
"132",7,5,0.143821886045523
"133",7,6,0.535967130411892
"134",7,7,3.2398796907322
"135",7,8,0
"136",7,9,0
"137",7,10,0
"138",7,11,0
"139",7,12,2.12744771930732
"140",7,13,0
"141",7,14,0
"142",7,15,0
"143",7,16,0
"144",7,17,0
"145",7,18,0
"146",7,19,0
"147",7,20,0
"148",8,0,0
"149",8,1,0
"150",8,2,0.476618476905125
"151",8,3,1.76666837095257
"152",8,4,0.461645574726782
"153",8,5,0.152632315582478
"154",8,6,1.75325359097593
"155",8,7,0.485891107789397
"156",8,8,0.332072932151197
"157",8,9,0.444595731994297
"158",8,10,0
"159",8,11,0
"160",8,12,2.12662189892222
"161",8,13,0
"162",8,14,0
"163",8,15,0
"164",8,16,0
"165",8,17,0
"166",8,18,0
"167",8,19,0
"168",8,20,0
"169",9,0,0
"170",9,1,0
"171",9,2,0.0799121642866127
"172",9,3,0
"173",9,4,0
"174",9,5,0
"175",9,6,3.26055082766453
"176",9,7,0.122056976506581
"177",9,8,0.134490001123105
"178",9,9,0
"179",9,10,0
"180",9,11,0.203686149631335
"181",9,12,0.915886199751327
"182",9,13,0.915886199751327
"183",9,14,2.36753148128519
"184",9,15,0
"185",9,16,0
"186",9,17,0
"187",9,18,0
"188",9,19,0
"189",9,20,0
"190",10,0,0
"191",10,1,0
"192",10,2,0
"193",10,3,0
"194",10,4,0
"195",10,5,0.00311391802295952
"196",10,6,1.64665440409576
"197",10,7,0
"198",10,8,0
"199",10,9,0
"200",10,10,0.462218898261069
"201",10,11,0.856147077024373
"202",10,12,2.12744771930732
"203",10,13,0.535967130411892
"204",10,14,2.36845085287663
"205",10,15,0
"206",10,16,0
"207",10,17,0
"208",10,18,0
"209",10,19,0
"210",10,20,0
"211",11,0,0
"212",11,1,0
"213",11,2,0
"214",11,3,0
"215",11,4,0
"216",11,5,0
"217",11,6,0.779585329791939
"218",11,7,2.05002068204547
"219",11,8,0.105869612687794
"220",11,9,0
"221",11,10,0.68334022734849
"222",11,11,0
"223",11,12,0.0384980409773797
"224",11,13,0
"225",11,14,0.0577470614660696
"226",11,15,0
"227",11,16,0
"228",11,17,0
"229",11,18,0
"230",11,19,0
"231",11,20,0
"232",12,0,0
"233",12,1,0
"234",12,2,0
"235",12,3,0
"236",12,4,0
"237",12,5,0
"238",12,6,0.274142078998403
"239",12,7,0.434165216360566
"240",12,8,2.39725087016279
"241",12,9,2.54815032154884
"242",12,10,0.238748296675128
"243",12,11,0.668921161692187
"244",12,12,1.43862205456208
"245",12,13,0
"246",12,14,0
"247",12,15,0
"248",12,16,0
"249",12,17,0
"250",12,18,0
"251",12,19,0
"252",12,20,0
"253",13,0,0
"254",13,1,0
"255",13,2,0
"256",13,3,0.0235506073920149
"257",13,4,0.177895571908383
"258",13,5,0.109967062769656
"259",13,6,0.261228416947333
"260",13,7,0
"261",13,8,0.730821737372237
"262",13,9,1.47109812743137
"263",13,10,0.268273974288935
"264",13,11,0.417163959555771
"265",13,12,1.66170829719287
"266",13,13,2.87829224514143
"267",13,14,0
"268",13,15,0
"269",13,16,0
"270",13,17,0
"271",13,18,0
"272",13,19,0
"273",13,20,0
"274",14,0,0
"275",14,1,0
"276",14,2,0
"277",14,3,0.214529821472595
"278",14,4,0.256696256018646
"279",14,5,0.0125712027204181
"280",14,6,0.59126872874959
"281",14,7,0.0889290600142695
"282",14,8,0.914766983744588
"283",14,9,0.851938059248554
"284",14,10,0.659858909425184
"285",14,11,0.0935748149199227
"286",14,12,0
"287",14,13,2.5005272469516
"288",14,14,1.81533891673463
"289",14,15,0
"290",14,16,0
"291",14,17,0
"292",14,18,0
"293",14,19,0
"294",14,20,0
"295",15,0,0
"296",15,1,0
"297",15,2,0
"298",15,3,0
"299",15,4,0
"300",15,5,0
"301",15,6,0.0534560028445057
"302",15,7,0.842624970810618
"303",15,8,0.212477659650646
"304",15,9,0.772417678546364
"305",15,10,1.90393725563934
"306",15,11,4.21508643250853
"307",15,12,0
"308",15,13,0
"309",15,14,0
"310",15,15,0
"311",15,16,0
"312",15,17,0
"313",15,18,0
"314",15,19,0
"315",15,20,0
"316",16,0,0
"317",16,1,0
"318",16,2,0
"319",16,3,0
"320",16,4,0.0354866102775377
"321",16,5,0.00300107176759305
"322",16,6,0.0242593461431535
"323",16,7,0.169685366599031
"324",16,8,1.99490969543576
"325",16,9,0.366247014112663
"326",16,10,5.40641089566426
"327",16,11,0
"328",16,12,0
"329",16,13,0
"330",16,14,0
"331",16,15,0
"332",16,16,0
"333",16,17,0
"334",16,18,0
"335",16,19,0
"336",16,20,0
"337",17,0,0
"338",17,1,0
"339",17,2,0
"340",17,3,0
"341",17,4,0
"342",17,5,0
"343",17,6,0
"344",17,7,0.014631327929348
"345",17,8,2.26361941470643
"346",17,9,0.0856180842266887
"347",17,10,3.52858795688327
"348",17,11,0
"349",17,12,0
"350",17,13,0
"351",17,14,0
"352",17,15,0
"353",17,16,0
"354",17,17,0
"355",17,18,2.10754321625426
"356",17,19,0
"357",17,20,0
"358",18,0,0
"359",18,1,0.00292077546556353
"360",18,2,0.243522097832602
"361",18,3,0.541753094354197
"362",18,4,0
"363",18,5,0.0995390498770687
"364",18,6,0.252697485724744
"365",18,7,0.46325687228504
"366",18,8,0.312310633613018
"367",18,9,0.327415500564907
"368",18,10,4.848584381816
"369",18,11,0
"370",18,12,0
"371",18,13,0
"372",18,14,0.90800010846686
"373",18,15,0
"374",18,16,0
"375",18,17,0
"376",18,18,0
"377",18,19,0
"378",18,20,0
"379",19,0,0
"380",19,1,0
"381",19,2,0
"382",19,3,0
"383",19,4,0
"384",19,5,0
"385",19,6,0.177354699164207
"386",19,7,0.353597897030555
"387",19,8,0.342254604147037
"388",19,9,1.02006488472644
"389",19,10,3.55857759338292
"390",19,11,1.10952826698676
"391",19,12,0
"392",19,13,0
"393",19,14,0
"394",19,15,0
"395",19,16,0
"396",19,17,0
"397",19,18,1.43862205456208
"398",19,19,0
"399",19,20,0
"400",20,0,0
"401",20,1,0
"402",20,2,0.141589547355413
"403",20,3,0.169823694714641
"404",20,4,0
"405",20,5,0
"406",20,6,0.0451757613555218
"407",20,7,0.819154728208153
"408",20,8,1.27771539903923
"409",20,9,3.19939463828947
"410",20,10,2.34714623103757
"411",20,11,0
"412",20,12,0
"413",20,13,0
"414",20,14,0
"415",20,15,0
"416",20,16,0
"417",20,17,0
"418",20,18,0
"419",20,19,0
"420",20,20,0
