"","xbin","zbin","vai"
"1",1,0,0
"2",1,1,0
"3",1,2,0
"4",1,3,0
"5",1,4,0
"6",1,5,0.362343081700672
"7",1,6,0
"8",1,7,0
"9",1,8,0.362343081700672
"10",1,9,0.330371633315319
"11",1,10,0
"12",1,11,0.0319714483853534
"13",1,12,0.266428736544612
"14",1,13,0
"15",1,14,0
"16",1,15,0
"17",1,16,0.181171540850336
"18",1,17,0.30905733439175
"19",1,18,0.52220032362744
"20",1,19,0.490228875242086
"21",1,20,1.15097214187272
"22",1,21,0.170514391388552
"23",1,22,0.0106571494617845
"24",1,23,0
"25",2,0,0
"26",2,1,0
"27",2,2,0
"28",2,3,0
"29",2,4,0
"30",2,5,0.132588166340528
"31",2,6,0.518823259593372
"32",2,7,0
"33",2,8,0
"34",2,9,0
"35",2,10,0.0518823259593372
"36",2,11,0.057647028843708
"37",2,12,0.0461176230749664
"38",2,13,0
"39",2,14,0
"40",2,15,0
"41",2,16,0
"42",2,17,0
"43",2,18,0.0807058403811912
"44",2,19,0.14411757210927
"45",2,20,0.0345882173062248
"46",2,21,0.0057647028843708
"47",2,22,0
"48",2,23,0
"49",3,0,0
"50",3,1,0.445878403497971
"51",3,2,1.12907918305131
"52",3,3,0
"53",3,4,0
"54",3,5,0
"55",3,6,0
"56",3,7,0
"57",3,8,0.09349063299151
"58",3,9,0.0287663486127723
"59",3,10,0.258897137514951
"60",3,11,0.107873807297896
"61",3,12,0.0143831743063862
"62",3,13,0
"63",3,14,0
"64",3,15,0
"65",3,16,0
"66",3,17,0
"67",3,18,0
"68",3,19,0
"69",3,20,0
"70",3,21,0
"71",3,22,0
"72",3,23,0
"73",4,0,0
"74",4,1,0.898001325819555
"75",4,2,2.69400397745867
"76",4,3,0
"77",4,4,0
"78",4,5,0
"79",4,6,0
"80",4,7,1.31246347619781
"81",4,8,0.224500331454889
"82",4,9,0.224500331454889
"83",4,10,0.673500994364666
"84",4,11,1.1397709135402
"85",4,12,0
"86",4,13,0
"87",4,14,0
"88",4,15,0
"89",4,16,0
"90",4,17,0
"91",4,18,0
"92",4,19,0
"93",4,20,0.397192894112496
"94",4,21,0
"95",4,22,0
"96",4,23,0
"97",5,0,0
"98",5,1,0
"99",5,2,0
"100",5,3,0
"101",5,4,0
"102",5,5,0
"103",5,6,0
"104",5,7,3.04253268940407
"105",5,8,0.235045443816624
"106",5,9,1.50167922438398
"107",5,10,0.679020171025801
"108",5,11,0
"109",5,12,0
"110",5,13,0
"111",5,14,0
"112",5,15,0
"113",5,16,0
"114",5,17,0
"115",5,18,0
"116",5,19,0
"117",5,20,0
"118",5,21,0
"119",5,22,0
"120",5,23,0
"121",6,0,0
"122",6,1,0
"123",6,2,0
"124",6,3,0.265258176569474
"125",6,4,0
"126",6,5,0
"127",6,6,0
"128",6,7,0.722599860309946
"129",6,8,1.65557689514051
"130",6,9,0.393313848016806
"131",6,10,0.283551843919093
"132",6,11,0
"133",6,12,0
"134",6,13,0
"135",6,14,0
"136",6,15,0
"137",6,16,0
"138",6,17,0
"139",6,18,0
"140",6,19,0
"141",6,20,0
"142",6,21,0
"143",6,22,0
"144",6,23,0
"145",7,0,0
"146",7,1,0
"147",7,2,0.0732859218331998
"148",7,3,1.45655769643485
"149",7,4,0.668734036727948
"150",7,5,0.164893324124699
"151",7,6,0.201536285041299
"152",7,7,0.15573258389555
"153",7,8,0.0458037011457499
"154",7,9,0.1099288827498
"155",7,10,0.174054064353849
"156",7,11,0.1282503632081
"157",7,12,0.0183214804582999
"158",7,13,0.11908962297895
"159",7,14,0
"160",7,15,0
"161",7,16,0
"162",7,17,0
"163",7,18,0
"164",7,19,0
"165",7,20,0
"166",7,21,0
"167",7,22,0
"168",7,23,0
"169",8,0,0
"170",8,1,0
"171",8,2,1.55213128105684
"172",8,3,0.889329274551484
"173",8,4,0.419494940826172
"174",8,5,0
"175",8,6,0
"176",8,7,0
"177",8,8,0
"178",8,9,0
"179",8,10,0
"180",8,11,0
"181",8,12,0
"182",8,13,0
"183",8,14,0
"184",8,15,0
"185",8,16,0
"186",8,17,0
"187",8,18,0
"188",8,19,0
"189",8,20,0
"190",8,21,0
"191",8,22,0
"192",8,23,0
"193",9,0,0
"194",9,1,1.53712105833109
"195",9,2,0.480350330728465
"196",9,3,2.16691371417507
"197",9,4,0
"198",9,5,0
"199",9,6,0
"200",9,7,0
"201",9,8,0
"202",9,9,0
"203",9,10,0
"204",9,11,0
"205",9,12,0
"206",9,13,0
"207",9,14,0
"208",9,15,0
"209",9,16,0
"210",9,17,0
"211",9,18,0
"212",9,19,0
"213",9,20,0
"214",9,21,0
"215",9,22,0
"216",9,23,0
"217",10,0,0
"218",10,1,0
"219",10,2,4.25810825759671
"220",10,3,0.460991777175712
"221",10,4,0.254758613702367
"222",10,5,0
"223",10,6,0
"224",10,7,0
"225",10,8,0
"226",10,9,0
"227",10,10,0
"228",10,11,0
"229",10,12,0
"230",10,13,0
"231",10,14,0
"232",10,15,0
"233",10,16,0
"234",10,17,0
"235",10,18,0
"236",10,19,0
"237",10,20,0
"238",10,21,0
"239",10,22,0
"240",10,23,0
"241",11,0,0
"242",11,1,0.0684943751742539
"243",11,2,1.26110231938479
"244",11,3,0.132959669455905
"245",11,4,0
"246",11,5,0
"247",11,6,0
"248",11,7,0
"249",11,8,0
"250",11,9,0
"251",11,10,0
"252",11,11,0
"253",11,12,0
"254",11,13,0
"255",11,14,0
"256",11,15,0
"257",11,16,0
"258",11,17,0
"259",11,18,0
"260",11,19,0
"261",11,20,0
"262",11,21,0
"263",11,22,0
"264",11,23,0
"265",12,0,0
"266",12,1,0
"267",12,2,0
"268",12,3,0
"269",12,4,0
"270",12,5,0
"271",12,6,0
"272",12,7,0
"273",12,8,0
"274",12,9,0
"275",12,10,0
"276",12,11,0
"277",12,12,0
"278",12,13,0
"279",12,14,0
"280",12,15,0
"281",12,16,0
"282",12,17,0
"283",12,18,0
"284",12,19,0
"285",12,20,0
"286",12,21,0
"287",12,22,0
"288",12,23,0
"289",13,0,0
"290",13,1,0
"291",13,2,0
"292",13,3,0
"293",13,4,0
"294",13,5,0
"295",13,6,0
"296",13,7,0
"297",13,8,0
"298",13,9,0
"299",13,10,0
"300",13,11,0
"301",13,12,0
"302",13,13,0.138096742275464
"303",13,14,0.0705827793852372
"304",13,15,0.0245505319600825
"305",13,16,0.049101063920165
"306",13,17,0
"307",13,18,0
"308",13,19,0
"309",13,20,0
"310",13,21,0
"311",13,22,0
"312",13,23,0
"313",14,0,0
"314",14,1,0
"315",14,2,0
"316",14,3,0.228589623952731
"317",14,4,0
"318",14,5,0
"319",14,6,0
"320",14,7,0
"321",14,8,0
"322",14,9,0
"323",14,10,0.14908018953439
"324",14,11,0.0198773586045853
"325",14,12,0
"326",14,13,0
"327",14,14,0.0629449689145202
"328",14,15,0.0728836482168129
"329",14,16,0.00993867930229267
"330",14,17,0.0198773586045853
"331",14,18,0.0265031448061138
"332",14,19,0.00662578620152844
"333",14,20,0.00993867930229267
"334",14,21,0
"335",14,22,0
"336",14,23,0
"337",15,0,0
"338",15,1,0.0457659777748359
"339",15,2,0.137297933324508
"340",15,3,2.05946899986762
"341",15,4,0.0711915209830781
"342",15,5,0
"343",15,6,0
"344",15,7,0
"345",15,8,0
"346",15,9,0
"347",15,10,0
"348",15,11,0
"349",15,12,0
"350",15,13,0.0610213036997812
"351",15,14,0.0661064123414296
"352",15,15,0.035595760491539
"353",15,16,0.0864468469080234
"354",15,17,0
"355",15,18,0
"356",15,19,0
"357",15,20,0
"358",15,21,0
"359",15,22,0.0101702172832969
"360",15,23,0.00508510864164843
"361",16,0,0
"362",16,1,0
"363",16,2,3.85302725408278
"364",16,3,2.28075920581726
"365",16,4,0.126169658194146
"366",16,5,0.26204467471092
"367",16,6,0
"368",16,7,0
"369",16,8,0
"370",16,9,0
"371",16,10,0
"372",16,11,0
"373",16,12,0
"374",16,13,0
"375",16,14,0
"376",16,15,0
"377",16,16,0
"378",16,17,0
"379",16,18,0
"380",16,19,0
"381",16,20,0
"382",16,21,0
"383",16,22,0
"384",16,23,0
"385",17,0,0
"386",17,1,0
"387",17,2,1.0072787962746
"388",17,3,0.971089138923415
"389",17,4,0.989183967599007
"390",17,5,0.512686812475095
"391",17,6,0
"392",17,7,0
"393",17,8,0
"394",17,9,0
"395",17,10,0
"396",17,11,0
"397",17,12,0
"398",17,13,0
"399",17,14,0
"400",17,15,0
"401",17,16,0
"402",17,17,0
"403",17,18,0
"404",17,19,0
"405",17,20,0
"406",17,21,0
"407",17,22,0
"408",17,23,0
"409",18,0,0
"410",18,1,0.365534952085061
"411",18,2,1.88859725243948
"412",18,3,0.791992396184298
"413",18,4,1.02045174123746
"414",18,5,0.411226821095693
"415",18,6,0.228459345053163
"416",18,7,0
"417",18,8,0
"418",18,9,0
"419",18,10,0
"420",18,11,0
"421",18,12,0
"422",18,13,0
"423",18,14,0
"424",18,15,0
"425",18,16,0.129460295530126
"426",18,17,0.0152306230035442
"427",18,18,0
"428",18,19,0
"429",18,20,0
"430",18,21,0
"431",18,22,0
"432",18,23,0
"433",19,0,0
"434",19,1,0.00631884718803415
"435",19,2,1.18162442416239
"436",19,3,0.0189565415641025
"437",19,4,0.518145469418801
"438",19,5,0.170608874076922
"439",19,6,0.0758261662564098
"440",19,7,0.0568696246923074
"441",19,8,0.328580053777776
"442",19,9,0.726667426623928
"443",19,10,0.214840804393161
"444",19,11,0
"445",19,12,0.0379130831282049
"446",19,13,0.0252753887521366
"447",19,14,0
"448",19,15,0.0315942359401708
"449",19,16,0.0379130831282049
"450",19,17,0.0442319303162391
"451",19,18,0.0505507775042732
"452",19,19,0.082145013444444
"453",19,20,0.0884638606324782
"454",19,21,0.0315942359401708
"455",19,22,0.0126376943760683
"456",19,23,0
"457",20,0,0
"458",20,1,0
"459",20,2,1.34961494983733
"460",20,3,0.163589690889374
"461",20,4,0.572563918112808
"462",20,5,0.170405928009764
"463",20,6,0.047713659842734
"464",20,7,0.381709278741872
"465",20,8,0.763418557483744
"466",20,9,0.579380155233199
"467",20,10,0
"468",20,11,0
"469",20,12,0.129508505287421
"470",20,13,0.0136324742407812
"471",20,14,0
"472",20,15,0
"473",20,16,0
"474",20,17,0
"475",20,18,0
"476",20,19,0
"477",20,20,0
"478",20,21,0
"479",20,22,0
"480",20,23,0
"481",21,0,0
"482",21,1,0
"483",21,2,0.901727260884718
"484",21,3,0.222898873477121
"485",21,4,0.881463726932252
"486",21,5,0
"487",21,6,0
"488",21,7,0.840936659027321
"489",21,8,0.861200192979787
"490",21,9,0.354611844168148
"491",21,10,0
"492",21,11,0
"493",21,12,0.0506588348811639
"494",21,13,0
"495",21,14,0
"496",21,15,0
"497",21,16,0
"498",21,17,0
"499",21,18,0
"500",21,19,0
"501",21,20,0
"502",21,21,0
"503",21,22,0
"504",21,23,0
"505",22,0,0
"506",22,1,0
"507",22,2,0
"508",22,3,0.0221127391172084
"509",22,4,0.921364129883685
"510",22,5,0
"511",22,6,0
"512",22,7,0.0958218695079032
"513",22,8,0.42014204322696
"514",22,9,0.862396825571129
"515",22,10,0.0737091303906948
"516",22,11,0
"517",22,12,0
"518",22,13,0
"519",22,14,0
"520",22,15,0
"521",22,16,0
"522",22,17,0
"523",22,18,0
"524",22,19,0
"525",22,20,0
"526",22,21,0
"527",22,22,0
"528",22,23,0
"529",23,0,0
"530",23,1,0
"531",23,2,0
"532",23,3,0
"533",23,4,0.0935530109364051
"534",23,5,0
"535",23,6,0
"536",23,7,0.268185298017695
"537",23,8,0.854450833219166
"538",23,9,0.299369634996496
"539",23,10,0
"540",23,11,0.0810792761448844
"541",23,12,0
"542",23,13,0
"543",23,14,0
"544",23,15,0
"545",23,16,0
"546",23,17,0
"547",23,18,0
"548",23,19,0
"549",23,20,0
"550",23,21,0
"551",23,22,0
"552",23,23,0
"553",24,0,0
"554",24,1,0
"555",24,2,0
"556",24,3,0
"557",24,4,0
"558",24,5,0
"559",24,6,0
"560",24,7,0.270711585642829
"561",24,8,0.0759892170225484
"562",24,9,0.052242586703002
"563",24,10,0
"564",24,11,0
"565",24,12,0
"566",24,13,0
"567",24,14,0
"568",24,15,0
"569",24,16,0
"570",24,17,0
"571",24,18,0
"572",24,19,0
"573",24,20,0
"574",24,21,0
"575",24,22,0
"576",24,23,0
"577",25,0,0
"578",25,1,0
"579",25,2,0
"580",25,3,0
"581",25,4,0.1989181634356
"582",25,5,0.0342962350751035
"583",25,6,0.0068592470150207
"584",25,7,1.1592127455385
"585",25,8,0.240073645525724
"586",25,9,0.116607199255352
"587",25,10,0.0274369880600828
"588",25,11,0.0068592470150207
"589",25,12,0
"590",25,13,0
"591",25,14,0
"592",25,15,0.0342962350751035
"593",25,16,0.0274369880600828
"594",25,17,0
"595",25,18,0.0617332231351863
"596",25,19,0.0342962350751035
"597",25,20,0.0960294582102898
"598",25,21,0
"599",25,22,0
"600",25,23,0
"601",26,0,0
"602",26,1,0
"603",26,2,0
"604",26,3,0
"605",26,4,0
"606",26,5,0.056904616161324
"607",26,6,0.682855393935888
"608",26,7,1.00802462914345
"609",26,8,0.528400007212294
"610",26,9,0.0812923088018914
"611",26,10,0
"612",26,11,0
"613",26,12,0
"614",26,13,0
"615",26,14,0.0406461544009457
"616",26,15,0.130067694083026
"617",26,16,0.0650338470415131
"618",26,17,0
"619",26,18,0
"620",26,19,0.146326155843404
"621",26,20,0.105680001442459
"622",26,21,0.0406461544009457
"623",26,22,0.00812923088018914
"624",26,23,0
"625",27,0,0
"626",27,1,0
"627",27,2,0
"628",27,3,0
"629",27,4,1.04173501401288
"630",27,5,0.0375400005049686
"631",27,6,1.98023502663709
"632",27,7,0.0844650011361794
"633",27,8,0.441095005933381
"634",27,9,0.0750800010099372
"635",27,10,0
"636",27,11,0
"637",27,12,0
"638",27,13,0
"639",27,14,0
"640",27,15,0
"641",27,16,0
"642",27,17,0
"643",27,18,0
"644",27,19,0
"645",27,20,0
"646",27,21,0
"647",27,22,0
"648",27,23,0
"649",28,0,0
"650",28,1,0
"651",28,2,0
"652",28,3,0.157360662865044
"653",28,4,0.552134329117288
"654",28,5,0
"655",28,6,2.13127134417349
"656",28,7,2.4440569833021
"657",28,8,1.81011778702805
"658",28,9,0.905058893514025
"659",28,10,0
"660",28,11,0
"661",28,12,0
"662",28,13,0
"663",28,14,0
"664",28,15,0
"665",28,16,0
"666",28,17,0
"667",28,18,0
"668",28,19,0
"669",28,20,0
"670",28,21,0
"671",28,22,0
"672",28,23,0
"673",29,0,0
"674",29,1,0
"675",29,2,0
"676",29,3,4.64343443015667
"677",29,4,0.030751221391766
"678",29,5,0
"679",29,6,0.753404924098267
"680",29,7,0.661151259922969
"681",29,8,0.507395152964139
"682",29,9,0.215258549742362
"683",29,10,0.107629274871181
"684",29,11,0.015375610695883
"685",29,12,0
"686",29,13,0
"687",29,14,0
"688",29,15,0
"689",29,16,0
"690",29,17,0
"691",29,18,0
"692",29,19,0
"693",29,20,0
"694",29,21,0
"695",29,22,0
"696",29,23,0
"697",30,0,0
"698",30,1,0
"699",30,2,0
"700",30,3,0.697108896994498
"701",30,4,0.00488295883658611
"702",30,5,0.00982102346737548
"703",30,6,0.374125463121988
"704",30,7,0
"705",30,8,0.798308821656221
"706",30,9,2.26975618108361
"707",30,10,3.84599665483972
"708",30,11,0
"709",30,12,0
"710",30,13,0
"711",30,14,0
"712",30,15,0
"713",30,16,0
"714",30,17,0
"715",30,18,0
"716",30,19,0
"717",30,20,0
"718",30,21,0
"719",30,22,0
"720",30,23,0
