"","zbin","vai","plot"
"1",0,0,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"2",1,0.0813449708837102,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"3",2,0.253698858484609,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"4",3,0.140363347514548,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"5",4,0.0774675993429356,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"6",5,0.234811585327006,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"7",6,0.292688106248698,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"8",7,0.181722130250965,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"9",8,0.403692743697968,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"10",9,0.183744608395792,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"11",10,0.132739648560484,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"12",11,0.0531324199657559,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"13",12,0.0289199905650648,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"14",13,0.0868410547915039,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"15",14,0.0183672071023315,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"16",15,0.0616041367984329,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"17",16,0.122502275546293,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"18",17,0.0478482014834551,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"19",18,0.0257360070149595,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"20",19,0.0843715644620305,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"21",20,0.172152619081486,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"22",21,0.133950638597922,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"23",22,0.128404390042468,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"24",23,0.0777083913599218,"hbefise_2017_p5_t4_output_hit_matrix.csv"
"25",24,0.0047356383764328,"hbefise_2017_p5_t4_output_hit_matrix.csv"
